ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
0,22.876298189163208,11,35020.0,473,0.0026265,0.0001419,0.0027684,3,2,1
2,22.97400140762329,9,33763.0,496,0.002532225,0.0001487999999999,0.002681025,3,2,1
3,30.04771733283997,8,26045.0,609,0.001953375,0.0001827,0.002136075,2,1,1
1,31.251442432403564,12,80632.0,918,0.0060474,0.0002753999999999,0.0063228,2,1,1
5,26.5206561088562,12,106307.0,932,0.007973025,0.0002795999999999,0.008252625,2,1,1
6,39.03011417388916,12,85542.0,981,0.0064156499999999,0.0002943,0.0067099499999999,2,1,1
7,38.49972224235535,15,241275.0,918,0.018095625,0.0002753999999999,0.018371025,2,2,0
4,54.40785717964173,19,94019.0,1294,0.007051425,0.0003882,0.007439625,3,2,1
11,19.10601663589477,8,34206.0,618,0.00256545,0.0001854,0.00275085,1,1,0
8,56.001341104507446,19,269817.0,1603,0.0202362749999999,0.0004809,0.0207171749999999,3,2,1
12,14.105968475341797,7,17234.0,356,0.00129255,0.0001068,0.00139935,1,1,0
10,40.80834317207336,11,40712.0,1033,0.0030534,0.0003099,0.0033633,2,1,1
9,43.62786030769348,15,150702.0,743,0.01130265,0.0002229,0.0115255499999999,2,1,1
14,17.360228538513184,9,37671.0,569,0.0028253249999999,0.0001707,0.002996025,2,1,1
16,25.099761962890625,11,91400.0,791,0.006855,0.0002373,0.0070923,2,2,0
17,13.468554735183716,8,8012.0,375,0.0006009,0.0001125,0.0007134,1,1,0
18,14.18477725982666,8,23493.0,399,0.0017619749999999,0.0001196999999999,0.0018816749999999,2,1,1
15,41.909294843673706,9,24401.0,742,0.001830075,0.0002226,0.002052675,2,1,1
19,16.45360016822815,9,36474.0,409,0.00273555,0.0001227,0.0028582499999999,2,1,1
22,13.070871829986572,6,51432.0,407,0.0038573999999999,0.0001220999999999,0.0039794999999999,2,1,1
20,23.896814823150635,8,13579.0,692,0.0010184249999999,0.0002076,0.001226025,1,1,0
24,13.50542402267456,8,34479.0,305,0.0025859249999999,9.15e-05,0.0026774249999999,2,1,1
23,24.513029098510746,17,24211.0,513,0.001815825,0.0001539,0.001969725,3,3,0
13,92.33258986473083,14,56324.0,522,0.0042243,0.0001565999999999,0.0043809,2,1,1
21,50.061553955078125,18,328112.0,1424,0.0246084,0.0004272,0.0250355999999999,3,3,0
25,15.755736112594604,8,22260.0,514,0.0016695,0.0001541999999999,0.0018237,1,1,0
26,10.645281314849854,7,16761.0,380,0.001257075,0.000114,0.001371075,1,0,1
28,13.049147129058838,8,18193.0,300,0.001364475,9e-05,0.001454475,1,1,0
27,28.64523410797119,12,140070.0,1076,0.01050525,0.0003228,0.01082805,2,1,1
29,27.2609121799469,13,46029.0,752,0.0034521749999999,0.0002255999999999,0.0036777749999999,3,3,0
30,29.849851608276367,15,63037.0,905,0.004727775,0.0002715,0.004999275,3,3,0
32,12.645047426223757,8,20820.0,316,0.0015615,9.48e-05,0.0016562999999999,2,2,0
31,39.4335298538208,8,16775.0,283,0.001258125,8.489999999999999e-05,0.0013430249999999,1,1,0
33,22.40322613716125,12,35373.0,794,0.002652975,0.0002382,0.002891175,2,2,0
35,28.217798709869385,12,70580.0,1496,0.0052935,0.0004488,0.0057423,2,1,1
36,19.16350030899048,8,41624.0,822,0.0031217999999999,0.0002466,0.0033683999999999,1,1,0
37,28.304431676864624,14,76803.0,626,0.0057602249999999,0.0001877999999999,0.0059480249999999,2,1,1
39,17.794076681137085,8,35113.0,824,0.0026334749999999,0.0002472,0.0028806749999999,2,1,1
38,28.436671495437626,12,92856.0,1426,0.0069642,0.0004278,0.007392,2,1,1
34,69.83963799476624,19,74376.0,1215,0.0055782,0.0003645,0.0059427,3,2,1
42,11.89622449874878,8,39571.0,461,0.002967825,0.0001382999999999,0.003106125,1,1,0
40,27.153860569000244,15,34065.0,881,0.002554875,0.0002643,0.0028191749999999,3,3,0
43,10.54198431968689,7,10833.0,393,0.000812475,0.0001178999999999,0.000930375,1,1,0
46,19.779587745666504,14,15509.0,722,0.001163175,0.0002166,0.001379775,2,2,0
44,30.047817945480347,12,53374.0,873,0.0040030499999999,0.0002618999999999,0.0042649499999999,3,2,1
41,52.26698446273804,21,314415.0,964,0.023581125,0.0002892,0.023870325,3,3,0
47,16.361004114151,9,32266.0,540,0.0024199499999999,0.000162,0.0025819499999999,2,1,1
50,28.40083885192871,14,31133.0,795,0.002334975,0.0002385,0.002573475,2,2,0
49,37.09895896911621,15,280736.0,774,0.0210552,0.0002321999999999,0.0212873999999999,2,2,0
