ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
1,16.305591583251953,8,34728.0,856,0.0026046,0.0002568,0.0028614,1,1,0
3,23.75594449043274,8,52572.0,957,0.0039429,0.0002871,0.00423,1,1,0
0,29.20298409461975,11,99866.0,925,0.0074899499999999,0.0002775,0.0077674499999999,2,2,0
5,23.830227613449097,9,34328.0,1439,0.0025746,0.0004317,0.0030063,2,1,1
4,35.99495887756348,19,51533.0,1715,0.003864975,0.0005145,0.004379475,4,3,1
6,27.977367162704468,12,137530.0,1088,0.01031475,0.0003263999999999,0.0106411499999999,2,1,1
7,11.973524570465088,8,19730.0,715,0.00147975,0.0002145,0.00169425,1,1,0
10,20.675934076309204,11,54883.0,1086,0.0041162249999999,0.0003258,0.004442025,2,1,1
11,12.766172647476196,8,12952.0,900,0.0009714,0.00027,0.0012414,1,1,0
9,45.03851890563965,12,50732.0,1017,0.0038048999999999,0.0003051,0.0041099999999999,2,1,1
2,104.88387656211852,15,63818.0,1402,0.0047863499999999,0.0004206,0.0052069499999999,2,2,0
13,12.751935243606567,7,19496.0,699,0.0014622,0.0002097,0.0016719,1,1,0
15,16.970177173614502,8,34463.0,908,0.002584725,0.0002723999999999,0.002857125,1,1,0
12,39.83352470397949,15,122711.0,1166,0.0092033249999999,0.0003498,0.0095531249999999,3,2,1
14,31.205480337142944,12,49955.0,1535,0.003746625,0.0004605,0.004207125,2,2,0
16,11.88744568824768,8,20717.0,984,0.0015537749999999,0.0002951999999999,0.0018489749999999,1,1,0
8,93.42747902870178,26,259697.0,2004,0.019477275,0.0006012,0.020078475,4,3,1
19,9.179770469665527,8,13353.0,895,0.001001475,0.0002685,0.001269975,1,1,0
20,12.27915096282959,8,22050.0,567,0.00165375,0.0001701,0.00182385,1,1,0
18,125.40252447128296,8,25071.0,1013,0.0018803249999999,0.0003038999999999,0.0021842249999999,1,1,0
