ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
2,22.324383020401,15,56201.0,966,0.0042150749999999,0.0002898,0.0045048749999999,2,2,0
0,32.56615710258484,8,34414.0,469,0.0025810499999999,0.0001406999999999,0.0027217499999999,2,1,1
4,19.33858585357666,8,15146.0,990,0.00113595,0.000297,0.00143295,2,1,1
5,20.496418714523315,8,26030.0,1126,0.00195225,0.0003378,0.00229005,1,0,1
3,54.671903133392334,11,59206.0,651,0.0044404499999999,0.0001952999999999,0.0046357499999999,2,1,1
6,28.15991735458374,12,137384.0,1126,0.0103038,0.0003378,0.0106416,2,1,1
9,28.66857361793518,12,66392.0,1292,0.0049793999999999,0.0003876,0.0053669999999999,2,1,1
1,125.80477166175842,12,46582.0,1182,0.00349365,0.0003545999999999,0.00384825,2,2,0
8,71.37511587142944,12,86124.0,874,0.0064593,0.0002622,0.0067215,2,1,1
11,12.014444589614868,8,12750.0,822,0.00095625,0.0002466,0.0012028499999999,1,1,0
10,54.24574089050293,18,113874.0,1472,0.00854055,0.0004415999999999,0.00898215,3,2,1
13,20.973307371139526,11,35675.0,858,0.002675625,0.0002573999999999,0.002933025,2,1,1
15,15.739393711090088,8,34326.0,873,0.00257445,0.0002618999999999,0.0028363499999999,1,1,0
7,169.35469818115234,9,22141.0,1051,0.001660575,0.0003153,0.001975875,2,2,0
14,73.96724486351013,8,35402.0,910,0.00265515,0.000273,0.00292815,2,1,1
17,12.612082958221436,8,31927.0,703,0.002394525,0.0002109,0.002605425,1,1,0
18,13.982359647750854,8,69980.0,817,0.0052485,0.0002451,0.0054935999999999,1,1,0
16,75.53749513626099,12,36061.0,1799,0.002704575,0.0005396999999999,0.0032442749999999,2,2,0
20,11.793740034103394,8,22052.0,643,0.0016538999999999,0.0001929,0.0018467999999999,1,1,0
21,52.77462530136109,12,27000.0,1258,0.002025,0.0003773999999999,0.0024024,2,2,0
23,12.900324821472168,8,13995.0,935,0.001049625,0.0002805,0.001330125,1,1,0
24,11.164957523345947,8,13341.0,802,0.0010005749999999,0.0002406,0.0012411749999999,1,1,0
19,93.61926007270812,8,27641.0,847,0.0020730749999999,0.0002541,0.002327175,1,1,0
12,229.8996057510376,21,224374.0,1888,0.01682805,0.0005664,0.01739445,4,3,1
25,57.74256992340088,9,19275.0,702,0.001445625,0.0002106,0.001656225,2,2,0
26,184.94183778762817,15,61475.0,1760,0.004610625,0.000528,0.005138625,2,2,0
28,130.1023292541504,14,259496.0,1574,0.0194622,0.0004722,0.0199344,2,2,0
27,213.38487601280207,12,49618.0,1812,0.00372135,0.0005436,0.00426495,2,2,0
30,58.15134859085083,12,60569.0,1450,0.004542675,0.000435,0.004977675,2,2,0
