ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
1,23.72428131103516,11,49854.0,1402,0.00373905,0.0004206,0.00415965,2,2,0
0,30.3160092830658,11,104832.0,1152,0.0078624,0.0003455999999999,0.008208,2,2,0
2,28.589138507843018,15,64036.0,1492,0.0048027,0.0004476,0.0052503,2,2,0
4,14.191065073013306,8,14957.0,863,0.0011217749999999,0.0002588999999999,0.0013806749999999,2,1,1
5,19.930481433868408,9,37787.0,1186,0.002834025,0.0003558,0.003189825,2,1,1
6,30.14417624473572,12,132240.0,778,0.009918,0.0002333999999999,0.0101514,2,1,1
3,113.16148972511292,8,59012.0,887,0.0044259,0.0002660999999999,0.004692,1,1,0
7,78.44184398651123,9,30108.0,1149,0.0022581,0.0003447,0.0026027999999999,2,2,0
9,27.36026692390442,12,64972.0,1339,0.0048728999999999,0.0004017,0.0052745999999999,2,1,1
8,89.77430295944214,26,196311.0,2333,0.0147233249999999,0.0006998999999999,0.0154232249999999,4,3,1
11,13.244438409805298,8,12825.0,954,0.000961875,0.0002861999999999,0.001248075,1,1,0
12,44.44380140304565,12,104828.0,1184,0.0078620999999999,0.0003552,0.0082172999999999,2,2,0
13,12.281891584396362,7,21063.0,482,0.001579725,0.0001446,0.0017243249999999,1,1,0
14,116.10314226150513,12,65919.0,1355,0.004943925,0.0004065,0.005350425,2,2,0
15,15.113481283187866,8,34335.0,843,0.002575125,0.0002528999999999,0.002828025,1,1,0
16,17.719663381576538,15,29760.0,1847,0.002232,0.0005541,0.0027861,2,2,0
17,17.424745798110962,8,29151.0,1158,0.002186325,0.0003474,0.0025337249999999,2,2,0
10,312.64379596710205,21,135415.0,1648,0.010156125,0.0004944,0.010650525,4,3,1
18,70.41311979293823,8,71513.0,1050,0.0053634749999999,0.000315,0.005678475,1,1,0
20,51.9119725227356,15,57200.0,1442,0.00429,0.0004325999999999,0.0047226,2,2,0
21,18.04257607460022,12,36572.0,1124,0.0027429,0.0003372,0.0030801,2,2,0
19,90.53891825675964,12,88011.0,1239,0.0066008249999999,0.0003717,0.0069725249999999,2,2,0
23,13.984824657440186,8,14167.0,1008,0.001062525,0.0003024,0.001364925,1,1,0
24,10.246381998062134,6,11440.0,453,0.000858,0.0001359,0.0009939,2,2,0
25,64.37626719474792,11,31466.0,878,0.00235995,0.0002633999999999,0.00262335,2,2,0
26,19.85415744781494,12,38001.0,1579,0.0028500749999999,0.0004736999999999,0.0033237749999999,2,2,0
27,17.14804482460022,11,37066.0,1403,0.0027799499999999,0.0004209,0.00320085,2,2,0
28,160.4148302078247,14,264248.0,1336,0.0198186,0.0004008,0.0202194,2,2,0
22,329.564177274704,18,59790.0,1032,0.00448425,0.0003096,0.00479385,4,3,1
29,160.94062614440918,11,164193.0,1447,0.012314475,0.0004341,0.012748575,2,2,0
31,13.167993783950806,8,12465.0,773,0.000934875,0.0002318999999999,0.001166775,1,1,0
32,11.207374572753906,8,9067.0,711,0.000680025,0.0002132999999999,0.0008933249999999,1,1,0
33,24.82119059562683,12,54893.0,1548,0.0041169749999999,0.0004643999999999,0.0045813749999999,2,1,1
34,16.9217631816864,8,31784.0,821,0.0023837999999999,0.0002462999999999,0.0026301,1,1,0
35,10.92501974105835,8,14592.0,693,0.0010944,0.0002079,0.0013023,1,1,0
36,10.62959122657776,7,12443.0,666,0.0009332249999999,0.0001997999999999,0.0011330249999999,1,1,0
37,24.139428853988647,12,50144.0,1469,0.0037608,0.0004407,0.0042014999999999,2,2,0
30,246.27381134033203,15,53461.0,1123,0.004009575,0.0003369,0.004346475,3,3,0
38,188.20131158828733,22,183585.0,2315,0.013768875,0.0006945,0.014463375,4,4,0
40,22.26474165916443,9,144743.0,965,0.010855725,0.0002895,0.011145225,2,2,0
41,20.90985226631165,12,86859.0,1687,0.006514425,0.0005061,0.007020525,2,2,0
39,238.21019506454468,22,176188.0,1740,0.0132141,0.000522,0.0137361,4,4,0
43,13.056721687316896,8,21973.0,924,0.0016479749999999,0.0002771999999999,0.0019251749999999,1,1,0
44,34.726886510849,8,14117.0,1052,0.0010587749999999,0.0003156,0.0013743749999999,1,1,0
45,12.39810276031494,8,9575.0,671,0.000718125,0.0002013,0.000919425,1,1,0
42,71.13599705696106,14,47034.0,1605,0.0035275499999999,0.0004815,0.0040090499999999,3,3,0
46,12.36706805229187,8,18112.0,705,0.0013583999999999,0.0002115,0.0015699,1,1,0
