,,DEFAME (default),w/o Web Search,w/o RIS,w/o Image Search,w/o Geolocate
Text-Only Claims,BA,0.94 ± 0.02,0.53 ± 0.04,0.94 ± 0.02,0.94 ± 0.01,0.93 ± 0.03
Text-Only Claims,MCC,0.66 ± 0.06,0.04 ± 0.09,0.66 ± 0.06,0.68 ± 0.03,0.65 ± 0.08
Text-Only Claims,TNR,0.87 ± 0.03,0.89 ± 0.07,0.87 ± 0.03,0.88 ± 0.02,0.86 ± 0.05
Text-Only Claims,True Precision,0.50 ± 0.07,0.12 ± 0.11,0.50 ± 0.07,0.52 ± 0.04,0.49 ± 0.09
Text-Only Claims,Correct (n),31 ± 1,28 ± 2,31 ± 1,31 ± 1,31 ± 2
Text-Only Claims,Wrong (n),4 ± 1,7 ± 2,4 ± 1,4 ± 1,4 ± 2
Text-Only Claims,Consistently Wrong (n),0,0,3,1,0
Text-Only Claims,FP (n),4 ± 1,3 ± 2,4 ± 1,4 ± 1,4 ± 2
Text-Only Claims,FN (n),0 ± 0,2 ± 2,0 ± 0,0 ± 0,0 ± 0
Claims w/ Normal Images,BA,0.93 ± 0.01,0.80 ± 0.14,0.83 ± 0.13,0.85 ± 0.15,0.93 ± 0.01
Claims w/ Normal Images,MCC,0.47 ± 0.04,0.39 ± 0.16,0.34 ± 0.10,0.37 ± 0.15,0.44 ± 0.02
Claims w/ Normal Images,TNR,0.87 ± 0.02,0.92 ± 0.04,0.84 ± 0.06,0.86 ± 0.03,0.86 ± 0.01
Claims w/ Normal Images,True Precision,0.25 ± 0.04,0.28 ± 0.09,0.18 ± 0.04,0.21 ± 0.08,0.23 ± 0.02
Claims w/ Normal Images,Correct (n),42 ± 1,45 ± 2,40 ± 2,42 ± 1,42 ± 1
Claims w/ Normal Images,Wrong (n),6 ± 1,4 ± 2,8 ± 3,7 ± 2,7 ± 1
Claims w/ Normal Images,Consistently Wrong (n),1,1,2,0,1
Claims w/ Normal Images,FP (n),6 ± 1,4 ± 3,8 ± 3,6 ± 2,7 ± 1
Claims w/ Normal Images,FN (n),0 ± 0,0 ± 1,0 ± 1,0 ± 1,0 ± 0
Claims w/ AI Images,BA,0.96 ± 0.06,1.00 ± 0.00,0.96 ± 0.06,0.89 ± 0.01,0.80 ± 0.16
Claims w/ AI Images,TNR,0.96 ± 0.06,1.00 ± 0.00,0.96 ± 0.06,0.89 ± 0.01,0.80 ± 0.16
Claims w/ AI Images,Correct (n),9 ± 1,9 ± 1,8 ± 1,8 ± 1,7 ± 2
Claims w/ AI Images,Wrong (n),0 ± 1,0 ± 0,0 ± 1,1 ± 0,2 ± 1
Claims w/ AI Images,Consistently Wrong (n),0,0,0,0,0
Claims w/ AI Images,FP (n),0 ± 1,0 ± 1,0 ± 1,1 ± 0,2 ± 1
Claims w/ AI Images,FN (n),0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0
Claims w/ Altered Images,BA,0.71 ± 0.15,0.67 ± 0.22,0.86 ± 0.00,0.71 ± 0.15,0.71 ± 0.15
Claims w/ Altered Images,TNR,0.71 ± 0.15,0.67 ± 0.22,0.86 ± 0.00,0.71 ± 0.15,0.71 ± 0.15
Claims w/ Altered Images,Correct (n),5 ± 1,5 ± 2,6 ± 0,5 ± 1,5 ± 1
Claims w/ Altered Images,Wrong (n),2 ± 1,2 ± 2,1 ± 0,2 ± 1,2 ± 1
Claims w/ Altered Images,Consistently Wrong (n),1,1,1,0,1
Claims w/ Altered Images,FP (n),2 ± 1,1 ± 1,1 ± 0,2 ± 1,2 ± 1
Claims w/ Altered Images,FN (n),0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0
