,,DEFAME (default),w/o Web Search,w/o RIS,w/o Image Search,w/o Geolocate
Text-Only Claims,BA,0.85 ± 0.04,0.58 ± 0.00,0.86 ± 0.08,0.83 ± 0.03,0.90 ± 0.03
Text-Only Claims,MCC,0.62 ± 0.07,0.18 ± 0.00,0.61 ± 0.09,0.56 ± 0.05,0.68 ± 0.05
Text-Only Claims,TNR,0.90 ± 0.01,0.91 ± 0.00,0.88 ± 0.04,0.87 ± 0.00,0.89 ± 0.00
Text-Only Claims,True Precision,0.60 ± 0.05,0.33 ± 0.00,0.56 ± 0.03,0.51 ± 0.02,0.59 ± 0.02
Text-Only Claims,Correct (n),47 ± 1,43 ± 1,46 ± 1,45 ± 1,47 ± 1
Text-Only Claims,Wrong (n),6 ± 1,10 ± 0,7 ± 1,8 ± 1,6 ± 1
Text-Only Claims,Consistently Wrong (n),0,5,2,1,2
Text-Only Claims,FP (n),4 ± 1,4 ± 0,5 ± 2,6 ± 0,5 ± 0
Text-Only Claims,FN (n),2 ± 1,6 ± 0,1 ± 2,2 ± 1,1 ± 1
Claims w/ Normal Images,BA,0.96 ± 0.05,1.00 ± 0.00,0.96 ± 0.02,0.99 ± 0.02,0.98 ± 0.02
Claims w/ Normal Images,MCC,0.71 ± 0.28,1.00 ± 0.00,0.63 ± 0.08,0.89 ± 0.18,0.79 ± 0.18
Claims w/ Normal Images,TNR,0.91 ± 0.10,1.00 ± 0.00,0.92 ± 0.04,0.98 ± 0.04,0.96 ± 0.03
Claims w/ Normal Images,True Precision,0.58 ± 0.38,1.00 ± 0.00,0.44 ± 0.10,0.83 ± 0.29,0.67 ± 0.29
Claims w/ Normal Images,Correct (n),15 ± 2,17 ± 0,15 ± 1,16 ± 1,16 ± 1
Claims w/ Normal Images,Wrong (n),1 ± 2,0 ± 0,1 ± 1,0 ± 1,1 ± 1
Claims w/ Normal Images,Consistently Wrong (n),0,0,0,0,0
Claims w/ Normal Images,FP (n),1 ± 2,0 ± 0,1 ± 1,0 ± 1,1 ± 1
Claims w/ Normal Images,FN (n),0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0
Claims w/ Altered Images,BA,0.89 ± 0.00,0.89 ± 0.11,0.89 ± 0.00,0.82 ± 0.06,0.89 ± 0.00
Claims w/ Altered Images,TNR,0.89 ± 0.00,0.89 ± 0.11,0.89 ± 0.00,0.82 ± 0.06,0.89 ± 0.00
Claims w/ Altered Images,Correct (n),8 ± 0,8 ± 1,8 ± 0,7 ± 1,8 ± 0
Claims w/ Altered Images,Wrong (n),1 ± 0,1 ± 1,1 ± 0,2 ± 1,1 ± 0
Claims w/ Altered Images,Consistently Wrong (n),0,0,1,0,1
Claims w/ Altered Images,FP (n),1 ± 0,1 ± 1,1 ± 0,2 ± 1,1 ± 0
Claims w/ Altered Images,FN (n),0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0
