ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
0,9.382511854171751,5,13725.0,286,0.001029375,8.58e-05,0.001115175,1,0,1
2,120.58369135856628,15,76089.0,1413,0.005706675,0.0004239,0.006130575,3,2,1
3,27.815776348114014,10,55434.0,986,0.00415755,0.0002958,0.00445335,2,2,0
4,23.68580961227417,12,42200.0,1098,0.003165,0.0003294,0.0034944,2,1,1
5,15.22925901412964,8,31000.0,631,0.002325,0.0001893,0.0025142999999999,1,0,1
6,12.017709493637083,8,20282.0,442,0.0015211499999999,0.0001326,0.0016537499999999,1,0,1
1,294.35854172706604,12,53487.0,963,0.0040115249999999,0.0002889,0.0043004249999999,2,1,1
7,202.72320127487183,12,78788.0,1221,0.0059091,0.0003663,0.0062753999999999,2,2,0
9,24.42503333091736,12,71033.0,1109,0.0053274749999999,0.0003327,0.0056601749999999,2,1,1
8,147.68361377716064,12,147057.0,8917,0.011029275,0.0026750999999999,0.013704375,2,1,1
11,14.796439170837402,11,28390.0,1121,0.00212925,0.0003363,0.00246555,2,2,0
12,14.007729291915894,8,17804.0,939,0.0013353,0.0002816999999999,0.001617,1,1,0
13,60.03956413269043,11,26513.0,960,0.001988475,0.000288,0.002276475,2,1,1
10,100.14260458946228,21,82076.0,1519,0.0061557,0.0004556999999999,0.0066114,4,3,1
14,8.506363153457642,5,19953.0,318,0.001496475,9.54e-05,0.001591875,1,0,1
16,55.52905774116516,7,11098.0,393,0.00083235,0.0001178999999999,0.00095025,3,2,1
15,140.33907866477966,14,38811.0,1844,0.0029108249999999,0.0005531999999999,0.0034640249999999,3,2,1
17,90.83509135246275,11,93859.0,1008,0.007039425,0.0003024,0.007341825,2,2,0
18,34.04318165779114,14,39046.0,981,0.00292845,0.0002943,0.00322275,4,3,1
19,60.13364458084106,8,18745.0,866,0.001405875,0.0002598,0.001665675,1,1,0
21,41.12283396720886,8,24610.0,923,0.00184575,0.0002768999999999,0.00212265,1,1,0
20,80.90619683265686,8,14951.0,1208,0.001121325,0.0003623999999999,0.001483725,1,1,0
23,22.21835207939148,7,62449.0,464,0.004683675,0.0001392,0.004822875,1,1,0
22,61.91249942779541,8,61856.0,750,0.0046392,0.000225,0.0048642,2,1,1
25,25.74680972099304,8,22051.0,701,0.001653825,0.0002103,0.001864125,1,1,0
24,150.22733545303345,16,109886.0,1853,0.0082414499999999,0.0005559,0.0087973499999999,3,3,0
27,99.35276865959167,16,142769.0,1873,0.010707675,0.0005618999999999,0.011269575,3,2,1
28,47.87635493278504,8,20862.0,783,0.00156465,0.0002349,0.0017995499999999,1,1,0
26,247.7674765586853,8,27795.0,504,0.002084625,0.0001512,0.002235825,1,1,0
30,79.68641686439514,9,29002.0,1126,0.00217515,0.0003378,0.00251295,2,1,1
