ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
0,8.411077499389648,5,13747.0,289,0.0010310249999999,8.67e-05,0.001117725,1,0,1
3,16.580845594406128,8,48572.0,951,0.0036429,0.0002853,0.0039282,1,1,0
5,13.376539945602415,8,31141.0,546,0.002335575,0.0001637999999999,0.002499375,1,0,1
2,46.24607372283936,8,28810.0,497,0.00216075,0.0001491,0.00230985,2,1,1
7,12.597544193267822,8,66010.0,891,0.00495075,0.0002673,0.00521805,1,1,0
1,85.76659631729126,22,110458.0,1498,0.00828435,0.0004494,0.00873375,3,2,1
8,41.10979604721069,19,211908.0,1674,0.0158930999999999,0.0005022,0.0163952999999999,3,2,1
6,89.8766827583313,18,145595.0,1362,0.010919625,0.0004085999999999,0.011328225,3,2,1
10,22.96432089805603,11,52502.0,1007,0.00393765,0.0003020999999999,0.00423975,2,1,1
12,12.46784210205078,8,17766.0,907,0.00133245,0.0002720999999999,0.00160455,1,1,0
4,127.92440342903136,19,50263.0,1150,0.003769725,0.000345,0.004114725,3,2,1
14,7.967875719070435,5,19947.0,254,0.0014960249999999,7.620000000000001e-05,0.0015722249999999,1,0,1
11,53.88415503501892,8,22821.0,843,0.001711575,0.0002528999999999,0.001964475,1,1,0
16,21.574535131454468,12,72181.0,883,0.0054135749999999,0.0002649,0.005678475,4,3,1
17,36.969186782836914,8,11543.0,1220,0.000865725,0.000366,0.001231725,1,1,0
13,115.63000679016112,24,90327.0,1992,0.006774525,0.0005976,0.007372125,4,3,1
19,12.969195365905762,8,18626.0,758,0.00139695,0.0002274,0.00162435,1,1,0
15,125.36290645599364,13,28062.0,1615,0.00210465,0.0004845,0.00258915,3,2,1
21,12.675938606262209,8,21479.0,874,0.001610925,0.0002622,0.001873125,1,1,0
18,58.60462474822998,15,59124.0,1233,0.0044343,0.0003699,0.0048042,4,3,1
23,6.549493789672852,5,3543.0,276,0.0002657249999999,8.28e-05,0.000348525,1,1,0
22,51.44269275665283,9,76840.0,827,0.005763,0.0002481,0.0060111,2,1,1
25,13.391473531723022,8,22662.0,933,0.0016996499999999,0.0002799,0.0019795499999999,1,1,0
26,12.540735006332396,8,27798.0,454,0.00208485,0.0001361999999999,0.00222105,1,1,0
9,292.72467255592346,26,150151.0,1518,0.0112613249999999,0.0004553999999999,0.0117167249999999,4,3,1
20,114.47195315361024,8,14122.0,1246,0.0010591499999999,0.0003738,0.00143295,1,1,0
24,112.98612570762634,8,28669.0,576,0.002150175,0.0001727999999999,0.0023229749999999,1,1,0
27,52.423688888549805,12,58162.0,1711,0.0043621499999999,0.0005133,0.00487545,2,1,1
31,14.648111343383787,8,28531.0,651,0.0021398249999999,0.0001952999999999,0.0023351249999999,2,1,1
32,63.149781942367554,12,29846.0,1069,0.00223845,0.0003207,0.00255915,2,2,0
28,118.3313763141632,15,39914.0,1228,0.0029935499999999,0.0003683999999999,0.00336195,2,2,0
34,12.748233318328856,8,13898.0,763,0.0010423499999999,0.0002289,0.0012712499999999,1,0,1
30,106.45545554161072,20,93432.0,1199,0.0070074,0.0003597,0.0073671,4,3,1
35,15.477289199829102,8,30102.0,682,0.00225765,0.0002045999999999,0.00246225,1,1,0
36,30.35980796813965,8,16116.0,955,0.0012087,0.0002865,0.0014952,1,1,0
29,209.58040952682487,12,51739.0,1260,0.003880425,0.000378,0.004258425,2,2,0
39,72.75013470649719,7,45421.0,795,0.003406575,0.0002385,0.003645075,2,1,1
40,13.186143636703491,9,13841.0,826,0.001038075,0.0002478,0.001285875,2,2,0
