ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
0,8.431205749511719,5,13644.0,285,0.0010233,8.55e-05,0.0011088,1,0,1
2,63.95106482505798,19,170739.0,1921,0.0128054249999999,0.0005763,0.0133817249999999,4,3,1
3,23.70958614349365,9,51687.0,1108,0.0038765249999999,0.0003324,0.004208925,2,2,0
1,108.83008432388306,19,202547.0,1405,0.015191025,0.0004215,0.015612525,3,2,1
4,30.953816652297974,12,66091.0,1752,0.004956825,0.0005256,0.005482425,2,2,0
6,139.8066444396973,22,64947.0,1654,0.0048710249999999,0.0004962,0.005367225,4,3,1
7,12.958173036575316,8,65570.0,936,0.00491775,0.0002808,0.00519855,1,1,0
8,15.633930206298828,8,101915.0,802,0.007643625,0.0002406,0.007884225,1,0,1
9,26.588805437088013,12,75005.0,1465,0.005625375,0.0004395,0.006064875,2,1,1
10,112.91560363769533,11,52634.0,1154,0.0039475499999999,0.0003462,0.0042937499999999,2,1,1
5,432.3654131889343,12,73596.0,1660,0.0055197,0.000498,0.0060177,2,1,1
12,13.864964962005615,8,17844.0,964,0.0013383,0.0002892,0.0016275,1,1,0
11,122.35657715797424,12,57014.0,1385,0.00427605,0.0004155,0.00469155,2,2,0
13,15.45331573486328,8,19810.0,681,0.00148575,0.0002042999999999,0.00169005,2,1,1
15,25.09682273864746,12,26257.0,1572,0.001969275,0.0004715999999999,0.002440875,2,2,0
14,56.0687530040741,9,34343.0,885,0.002575725,0.0002655,0.002841225,2,1,1
16,90.38241028785706,10,22803.0,738,0.001710225,0.0002214,0.001931625,2,2,0
17,94.43503403663637,14,110950.0,1480,0.00832125,0.000444,0.00876525,4,4,0
19,7.029852628707886,5,8975.0,273,0.000673125,8.189999999999998e-05,0.000755025,1,0,1
18,64.35214042663574,19,80139.0,1345,0.006010425,0.0004035,0.006413925,5,4,1
21,22.44150185585022,14,41667.0,1207,0.003125025,0.0003620999999999,0.0034871249999999,2,2,0
22,49.9353940486908,8,23610.0,886,0.00177075,0.0002658,0.00203655,2,2,0
23,7.947333097457886,5,3423.0,272,0.0002567249999999,8.159999999999999e-05,0.0003383249999999,1,1,0
20,125.8434648513794,11,25372.0,1457,0.0019029,0.0004370999999999,0.00234,2,2,0
24,22.304414987564087,8,41854.0,1243,0.0031390499999999,0.0003728999999999,0.0035119499999999,1,1,0
26,14.35360836982727,8,34522.0,588,0.00258915,0.0001764,0.00276555,1,1,0
25,49.27647280693054,12,30626.0,1435,0.00229695,0.0004305,0.0027274499999999,2,2,0
28,10.816898822784424,8,21839.0,618,0.001637925,0.0001854,0.001823325,1,1,0
27,79.87774896621704,19,289796.0,1976,0.0217347,0.0005928,0.0223275,3,2,1
29,68.52514433860779,12,52560.0,1220,0.003942,0.000366,0.004308,2,2,0
30,38.13605165481568,16,78425.0,1311,0.005881875,0.0003933,0.006275175,3,2,1
31,17.149245500564575,9,33204.0,819,0.0024902999999999,0.0002457,0.0027359999999999,2,2,0
32,17.580570220947266,12,45530.0,1011,0.00341475,0.0003033,0.0037180499999999,2,2,0
34,21.10027289390564,12,29012.0,1099,0.0021759,0.0003297,0.0025056,2,1,1
35,15.659117698669434,8,20312.0,750,0.0015233999999999,0.000225,0.0017483999999999,1,1,0
36,35.9287543296814,8,21437.0,1009,0.0016077749999999,0.0003027,0.0019104749999999,1,1,0
37,125.7357075214386,19,99000.0,1209,0.007425,0.0003627,0.0077877,4,3,1
38,27.196781158447266,12,106548.0,1436,0.0079911,0.0004308,0.0084219,2,1,1
39,14.880210161209106,7,43497.0,702,0.003262275,0.0002106,0.003472875,2,1,1
40,11.592758655548096,9,21841.0,815,0.001638075,0.0002445,0.001882575,2,2,0
41,18.365742683410645,9,24946.0,1233,0.00187095,0.0003699,0.00224085,2,2,0
42,68.62341451644897,11,33804.0,1330,0.0025353,0.000399,0.0029343,2,2,0
43,6.950931310653687,5,8583.0,344,0.000643725,0.0001032,0.000746925,1,1,0
44,53.88220477104187,8,17456.0,761,0.0013092,0.0002283,0.0015375,1,1,0
45,22.715521097183228,12,50350.0,1299,0.00377625,0.0003897,0.00416595,2,1,1
46,6.807450771331787,7,13438.0,596,0.0010078499999999,0.0001787999999999,0.0011866499999999,1,1,0
47,16.05855107307434,9,27490.0,819,0.00206175,0.0002457,0.00230745,2,2,0
48,13.779014825820925,8,31138.0,760,0.00233535,0.000228,0.00256335,1,1,0
33,482.48014307022095,12,55675.0,1591,0.004175625,0.0004772999999999,0.004652925,2,2,0
50,7.11918044090271,8,5670.0,624,0.00042525,0.0001872,0.00061245,1,1,0
51,11.125399351119995,8,22501.0,589,0.001687575,0.0001766999999999,0.0018642749999999,1,1,0
52,12.67250657081604,8,13513.0,884,0.001013475,0.0002652,0.001278675,1,1,0
49,134.95503997802734,22,238271.0,2373,0.017870325,0.0007119,0.018582225,3,3,0
53,182.05270433425903,19,175595.0,2023,0.013169625,0.0006069,0.013776525,3,3,0
55,13.076894760131836,8,26408.0,674,0.0019806,0.0002021999999999,0.0021828,1,1,0
54,112.35913634300232,16,177099.0,1524,0.0132824249999999,0.0004572,0.0137396249999999,3,3,0
57,48.28890371322632,9,90543.0,732,0.0067907249999999,0.0002196,0.0070103249999999,2,2,0
58,64.72480130195618,22,89359.0,2000,0.006701925,0.0006,0.007301925,4,3,1
59,59.78915977478027,19,186677.0,1739,0.014000775,0.0005216999999999,0.014522475,3,2,1
60,69.63263416290283,15,133170.0,1343,0.00998775,0.0004029,0.01039065,2,1,1
56,340.8894658088684,18,65656.0,1628,0.0049242,0.0004883999999999,0.0054126,3,2,1
62,150.84123468399048,9,35122.0,832,0.00263415,0.0002496,0.00288375,2,2,0
61,250.429594039917,19,229683.0,1652,0.0172262249999999,0.0004956,0.0177218249999999,4,3,1
64,11.64170241355896,8,18496.0,642,0.0013872,0.0001926,0.0015798,1,1,0
63,58.63416743278504,16,119657.0,1293,0.008974275,0.0003879,0.009362175,3,2,1
65,88.18756151199341,26,161067.0,1936,0.012080025,0.0005807999999999,0.0126608249999999,5,4,1
66,57.61671304702759,15,34550.0,1453,0.00259125,0.0004358999999999,0.0030271499999999,3,3,0
67,249.2179982662201,22,333960.0,2290,0.025047,0.000687,0.025734,3,3,0
68,262.30302572250366,25,177078.0,2059,0.01328085,0.0006176999999999,0.01389855,4,3,1
70,11.54244303703308,7,13250.0,746,0.00099375,0.0002238,0.00121755,1,1,0
71,22.93174815177917,12,111201.0,702,0.0083400749999999,0.0002106,0.0085506749999999,2,2,0
69,50.6427800655365,12,26789.0,936,0.0020091749999999,0.0002808,0.0022899749999999,2,1,1
73,56.21873068809509,12,61996.0,1113,0.0046497,0.0003339,0.0049835999999999,2,2,0
74,12.50840950012207,8,44396.0,914,0.0033296999999999,0.0002742,0.0036038999999999,1,1,0
75,25.069197177886963,12,91951.0,1216,0.006896325,0.0003648,0.007261125,2,1,1
76,22.13374376296997,11,45759.0,862,0.0034319249999999,0.0002585999999999,0.0036905249999999,2,2,0
77,14.02198600769043,8,24661.0,902,0.0018495749999999,0.0002705999999999,0.0021201749999999,1,1,0
72,164.30288171768188,5,20462.0,313,0.0015346499999999,9.39e-05,0.0016285499999999,1,1,0
79,11.902244329452516,8,20727.0,419,0.001554525,0.0001257,0.001680225,1,0,1
78,69.66511464118958,19,103158.0,2135,0.0077368499999999,0.0006405,0.0083773499999999,3,3,0
80,87.93601298332214,11,35382.0,614,0.00265365,0.0001841999999999,0.00283785,3,2,1
81,143.8922793865204,14,33913.0,994,0.002543475,0.0002982,0.002841675,2,2,0
82,186.2371497154236,25,132524.0,2031,0.0099393,0.0006092999999999,0.0105486,5,4,1
84,14.424323558807371,8,19272.0,678,0.0014454,0.0002034,0.0016488,1,0,1
85,22.95460319519043,10,43991.0,885,0.0032993249999999,0.0002655,0.0035648249999999,2,2,0
86,25.60264492034912,11,60624.0,1245,0.0045468,0.0003735,0.0049203,2,1,1
87,7.294406414031982,5,7857.0,221,0.000589275,6.63e-05,0.000655575,1,0,1
83,255.6899299621582,22,177152.0,1632,0.0132864,0.0004896,0.013776,4,4,0
88,283.0944983959198,27,148487.0,2368,0.011136525,0.0007104,0.011846925,5,4,1
90,13.59956169128418,8,18392.0,1118,0.0013793999999999,0.0003353999999999,0.0017147999999999,1,1,0
91,41.145169496536255,16,236823.0,1625,0.017761725,0.0004875,0.0182492249999999,3,2,1
89,316.41502261161804,29,91920.0,3678,0.006894,0.0011033999999999,0.0079974,5,5,0
92,82.5124990940094,26,189143.0,1827,0.014185725,0.0005481,0.0147338249999999,4,3,1
94,19.811701774597168,8,48906.0,928,0.0036679499999999,0.0002784,0.0039463499999999,1,0,1
96,17.334211587905884,8,181464.0,776,0.0136098,0.0002328,0.0138426,2,1,1
95,25.74812889099121,8,110028.0,887,0.0082521,0.0002660999999999,0.0085182,1,0,1
98,28.52867078781128,15,54453.0,1184,0.004083975,0.0003552,0.004439175,3,2,1
97,42.788816928863525,21,66380.0,1630,0.0049785,0.000489,0.0054675,3,3,0
99,196.12561917304993,19,158896.0,1267,0.0119172,0.00038009999999999997,0.012297299999999999,3,2,1
