ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
0,8.97199535369873,5,13578.0,289,0.00101835,8.67e-05,0.00110505,1,0,1
2,327.7253179550171,22,111565.0,1896,0.008367375,0.0005688,0.008936175,4,3,1
3,21.549845695495605,7,25358.0,924,0.0019018499999999,0.0002771999999999,0.0021790499999999,1,0,1
1,358.9808533191681,12,76486.0,863,0.00573645,0.0002588999999999,0.00599535,2,1,1
5,79.97304511070251,12,76200.0,1333,0.005715,0.0003998999999999,0.0061148999999999,2,1,1
6,43.87236976623535,12,34064.0,1085,0.0025548,0.0003255,0.0028802999999999,2,1,1
7,82.63354802131653,12,55839.0,1100,0.004187925,0.00033,0.004517925,2,1,1
4,293.01947712898254,23,132084.0,2100,0.0099063,0.00063,0.0105363,4,3,1
9,98.43820118904114,15,96024.0,8406,0.0072018,0.0025218,0.0097236,2,1,1
8,206.4104855060577,18,175088.0,2241,0.0131316,0.0006722999999999,0.0138039,3,2,1
11,13.1291766166687,8,12544.0,726,0.0009408,0.0002177999999999,0.0011586,1,1,0
12,18.08971095085144,8,17813.0,980,0.0013359749999999,0.000294,0.0016299749999999,1,1,0
10,59.08521437644959,7,33081.0,566,0.0024810749999999,0.0001697999999999,0.0026508749999999,1,0,1
14,40.686054706573486,5,19772.0,248,0.0014828999999999,7.439999999999999e-05,0.0015573,1,0,1
13,76.63922595977783,14,32773.0,1057,0.002457975,0.0003170999999999,0.0027750749999999,2,1,1
15,39.59592366218567,11,24452.0,1323,0.0018338999999999,0.0003969,0.0022308,2,1,1
16,14.494129419326782,8,11814.0,815,0.00088605,0.0002445,0.00113055,2,1,1
18,36.44550204277039,8,17477.0,691,0.001310775,0.0002072999999999,0.0015180749999999,2,1,1
19,53.23872637748718,9,28817.0,697,0.002161275,0.0002091,0.002370375,2,1,1
20,68.93231320381165,8,18184.0,1171,0.0013637999999999,0.0003513,0.0017150999999999,1,1,0
17,178.84493398666382,8,19379.0,758,0.001453425,0.0002274,0.001680825,1,1,0
21,15.31721329689026,8,17598.0,644,0.00131985,0.0001931999999999,0.00151305,1,1,0
22,29.04403805732727,9,59212.0,751,0.0044408999999999,0.0002252999999999,0.0046662,2,1,1
24,21.64598298072815,8,22851.0,986,0.001713825,0.0002958,0.002009625,2,1,1
25,16.754422903060913,8,22374.0,854,0.00167805,0.0002562,0.00193425,1,1,0
23,82.39440965652466,11,259107.0,907,0.0194330249999999,0.0002720999999999,0.0197051249999999,2,2,0
26,16.008258819580078,8,27866.0,542,0.0020899499999999,0.0001626,0.00225255,1,1,0
28,12.505146265029907,8,22163.0,834,0.0016622249999999,0.0002502,0.0019124249999999,1,1,0
29,29.13191056251526,9,39204.0,670,0.0029403,0.000201,0.0031412999999999,2,2,0
30,26.700640201568604,9,28545.0,904,0.002140875,0.0002712,0.002412075,2,1,1
27,120.05548453330994,12,64043.0,1293,0.0048032249999999,0.0003879,0.0051911249999999,2,1,1
31,52.18150663375855,8,31707.0,1021,0.002378025,0.0003063,0.002684325,2,1,1
32,21.88671040534973,11,28941.0,1068,0.0021705749999999,0.0003204,0.0024909749999999,2,2,0
34,321.340948343277,12,38029.0,936,0.0028521749999999,0.0002808,0.0031329749999999,2,1,1
35,135.83810877799988,12,78449.0,2132,0.005883675,0.0006396,0.006523275,2,1,1
36,37.880226373672485,8,21945.0,1115,0.001645875,0.0003345,0.001980375,1,1,0
37,45.32627964019776,11,55966.0,1028,0.00419745,0.0003083999999999,0.00450585,2,1,1
38,42.17938804626465,12,88822.0,1585,0.00666165,0.0004755,0.00713715,2,1,1
33,690.0689315795898,12,34885.0,1386,0.002616375,0.0004158,0.003032175,2,2,0
40,66.50380158424377,8,13512.0,957,0.0010134,0.0002871,0.0013005,1,1,0
39,216.6400463581085,7,43427.0,698,0.003257025,0.0002094,0.003466425,2,1,1
42,50.4957914352417,8,23602.0,1126,0.0017701499999999,0.0003378,0.00210795,1,1,0
43,31.808645725250244,5,8567.0,316,0.000642525,9.48e-05,0.000737325,1,1,0
44,46.25696849822998,8,37486.0,839,0.0028114499999999,0.0002517,0.0030631499999999,2,1,1
45,30.609724283218384,12,38474.0,1281,0.0028855499999999,0.0003843,0.00326985,2,1,1
41,232.11075258255005,9,32319.0,1245,0.0024239249999999,0.0003735,0.0027974249999999,2,2,0
47,20.43696331977844,9,30449.0,814,0.0022836749999999,0.0002441999999999,0.0025278749999999,2,1,1
46,141.05336141586304,10,15487.0,749,0.0011615249999999,0.0002247,0.0013862249999999,2,2,0
48,124.2543375492096,18,72172.0,1691,0.0054129,0.0005072999999999,0.0059202,3,3,0
50,6.814478635787964,8,5621.0,577,0.000421575,0.0001731,0.000594675,1,1,0
49,46.67894458770752,12,15192.0,984,0.0011393999999999,0.0002951999999999,0.0014345999999999,2,2,0
51,34.07496523857117,8,22171.0,550,0.001662825,0.000165,0.001827825,1,1,0
52,12.779389381408691,8,13460.0,810,0.0010095,0.000243,0.0012525,1,1,0
53,119.2466242313385,19,63969.0,1626,0.004797675,0.0004877999999999,0.005285475,3,3,0
54,116.8201186656952,12,110140.0,1539,0.0082605,0.0004617,0.0087222,2,2,0
55,11.965532541275024,8,26534.0,737,0.00199005,0.0002211,0.00221115,1,1,0
