ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
3,22.39440894126892,9,54602.0,1166,0.00409515,0.0003498,0.00444495,2,2,0
2,40.13355731964111,12,50160.0,1229,0.003762,0.0003686999999999,0.0041307,2,2,0
0,40.964884757995605,12,68704.0,1112,0.0051528,0.0003336,0.0054864,3,3,0
1,52.694204330444336,21,263946.0,1618,0.01979595,0.0004854,0.02028135,3,3,0
5,19.09072256088257,8,76926.0,819,0.00576945,0.0002457,0.0060151499999999,1,1,0
8,21.842214345932007,12,61524.0,1023,0.0046143,0.0003069,0.0049212,2,2,0
6,53.494043827056885,18,253021.0,1278,0.018976575,0.0003834,0.0193599749999999,3,3,0
9,29.818482398986816,8,74346.0,751,0.00557595,0.0002252999999999,0.00580125,1,1,0
11,16.530569553375244,12,38278.0,1197,0.00287085,0.0003590999999999,0.0032299499999999,2,2,0
4,116.87802934646606,9,36938.0,794,0.00277035,0.0002382,0.00300855,2,2,0
12,12.52206039428711,8,17852.0,949,0.0013388999999999,0.0002847,0.0016235999999999,1,1,0
7,117.42043685913086,12,113716.0,1618,0.0085286999999999,0.0004854,0.0090140999999999,2,2,0
14,61.37936902046204,9,27437.0,908,0.002057775,0.0002723999999999,0.002330175,2,2,0
16,30.06119465827942,13,47002.0,906,0.00352515,0.0002718,0.00379695,3,3,0
17,12.543761968612673,8,19324.0,828,0.0014493,0.0002483999999999,0.0016977,1,1,0
15,77.88823366165161,12,46739.0,1150,0.0035054249999999,0.000345,0.0038504249999999,2,2,0
19,15.211372137069702,8,18040.0,324,0.001353,9.72e-05,0.0014502,2,2,0
18,75.25427913665771,15,73831.0,1523,0.005537325,0.0004569,0.005994225,3,3,0
13,194.8649866580963,25,342425.0,2170,0.025681875,0.000651,0.026332875,5,5,0
21,23.51555061340332,14,44217.0,1587,0.003316275,0.0004760999999999,0.003792375,2,2,0
22,15.151548385620115,9,25531.0,566,0.0019148249999999,0.0001697999999999,0.0020846249999999,2,2,0
23,20.49136567115784,8,163899.0,815,0.012292425,0.0002445,0.0125369249999999,1,1,0
25,24.05329918861389,8,22447.0,922,0.001683525,0.0002765999999999,0.001960125,1,1,0
26,11.819903135299684,8,27408.0,345,0.0020556,0.0001035,0.0021590999999999,1,1,0
20,186.5852043628693,12,29021.0,1050,0.0021765749999999,0.000315,0.0024915749999999,2,2,0
