ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
2,39.006648540496826,8,32717.0,925,0.002453775,0.0002775,0.002731275,2,1,1
3,38.64229202270508,9,55798.0,1031,0.0041848499999999,0.0003093,0.00449415,2,2,0
1,56.7382709980011,22,103964.0,1692,0.0077972999999999,0.0005076,0.0083048999999999,3,2,1
0,72.94460844993591,13,63939.0,1245,0.004795425,0.0003735,0.0051689249999999,3,2,1
7,13.685295104980469,8,65999.0,1070,0.004949925,0.000321,0.005270925,1,1,0
8,25.036982774734497,12,141686.0,1782,0.0106264499999999,0.0005346,0.0111610499999999,2,1,1
4,100.86488652229308,12,33128.0,1305,0.0024846,0.0003915,0.0028761,2,1,1
9,32.57038331031799,16,102809.0,1457,0.0077106749999999,0.0004370999999999,0.008147775,3,2,1
6,112.21694874763487,19,55161.0,1475,0.004137075,0.0004425,0.004579575,3,2,1
11,38.75391268730164,8,12795.0,708,0.000959625,0.0002124,0.001172025,1,1,0
12,15.684765577316284,8,18287.0,1196,0.001371525,0.0003588,0.001730325,1,1,0
10,69.9864149093628,11,46053.0,841,0.0034539749999999,0.0002523,0.0037062749999999,2,1,1
13,90.6590223312378,22,74233.0,1421,0.005567475,0.0004263,0.005993775,4,3,1
16,19.296817779541016,9,40624.0,697,0.0030467999999999,0.0002091,0.0032558999999999,2,2,0
17,47.69224405288696,8,19231.0,719,0.001442325,0.0002156999999999,0.001658025,1,1,0
14,173.87966656684875,5,19942.0,239,0.0014956499999999,7.170000000000001e-05,0.00156735,1,0,1
19,13.342329740524292,8,18105.0,586,0.001357875,0.0001758,0.001533675,1,1,0
15,186.6850187778473,19,110986.0,1434,0.0083239499999999,0.0004302,0.0087541499999999,3,3,0
18,68.18182063102722,15,61689.0,1230,0.004626675,0.000369,0.004995675,4,3,1
22,72.65942740440369,9,59399.0,740,0.004454925,0.000222,0.004676925,2,1,1
5,455.3325443267822,12,68369.0,1074,0.005127675,0.0003221999999999,0.005449875,2,1,1
23,19.265573978424072,8,163678.0,630,0.01227585,0.000189,0.01246485,1,1,0
25,13.9517240524292,8,22566.0,899,0.00169245,0.0002697,0.00196215,1,1,0
26,13.22726345062256,8,34220.0,476,0.0025665,0.0001427999999999,0.0027093,1,1,0
20,159.5061891078949,8,17218.0,1251,0.00129135,0.0003753,0.00166665,1,1,0
28,45.87211894989014,8,20271.0,810,0.001520325,0.000243,0.001763325,1,1,0
24,106.89778113365172,10,27926.0,771,0.00209445,0.0002312999999999,0.0023257499999999,2,2,0
27,109.12893104553224,12,68248.0,8993,0.0051185999999999,0.0026979,0.0078164999999999,2,1,1
21,241.83175230026245,18,56409.0,1481,0.004230675,0.0004443,0.004674975,3,3,0
30,45.462528228759766,16,88670.0,1630,0.00665025,0.000489,0.00713925,3,2,1
31,17.033003330230713,8,40052.0,1036,0.0030039,0.0003108,0.0033147,1,1,0
32,71.04930257797241,11,29000.0,1038,0.002175,0.0003114,0.0024863999999999,2,2,0
36,14.649988174438477,8,23336.0,1051,0.0017502,0.0003153,0.0020655,1,1,0
37,22.204758882522583,11,59211.0,1187,0.004440825,0.0003561,0.004796925,2,1,1
35,128.0309817790985,22,91248.0,1346,0.0068435999999999,0.0004038,0.0072473999999999,3,2,1
39,74.78701114654541,8,49931.0,770,0.003744825,0.000231,0.003975825,2,2,0
29,399.80408334732056,9,37163.0,888,0.002787225,0.0002663999999999,0.003053625,2,2,0
40,131.54169392585754,8,20379.0,865,0.001528425,0.0002595,0.0017879249999999,1,1,0
42,16.185292959213257,8,24129.0,1263,0.001809675,0.0003789,0.002188575,1,1,0
43,5.667686939239502,5,9522.0,248,0.00071415,7.439999999999999e-05,0.00078855,1,1,0
44,68.47646737098694,8,38682.0,939,0.00290115,0.0002816999999999,0.00318285,1,1,0
38,359.8175060749054,16,189557.0,1910,0.014216775,0.000573,0.014789775,3,2,1
33,461.1571347713471,12,50486.0,1421,0.00378645,0.0004263,0.0042127499999999,2,2,0
46,6.663096904754639,7,13547.0,596,0.001016025,0.0001787999999999,0.001194825,1,1,0
48,14.64562177658081,8,31334.0,809,0.00235005,0.0002427,0.0025927499999999,1,1,0
47,26.590731382369995,9,30714.0,846,0.0023035499999999,0.0002538,0.00255735,2,1,1
50,45.10292148590088,8,13420.0,684,0.0010065,0.0002052,0.0012117,1,1,0
41,205.77388191223145,11,44299.0,1606,0.0033224249999999,0.0004817999999999,0.0038042249999999,2,2,0
45,150.94495344161987,12,45412.0,1288,0.0034059,0.0003863999999999,0.0037922999999999,2,1,1
49,130.78594088554382,20,79852.0,2018,0.0059888999999999,0.0006054,0.0065942999999999,3,3,0
53,13.20962643623352,8,21388.0,837,0.0016041,0.0002511,0.0018552,1,1,0
55,11.726894855499268,8,26545.0,703,0.001990875,0.0002109,0.002201775,1,1,0
51,104.2866988182068,8,26299.0,800,0.001972425,0.00024,0.002212425,1,1,0
54,58.27615785598755,12,47406.0,1326,0.00355545,0.0003978,0.00395325,2,2,0
57,71.08678531646729,16,265944.0,1523,0.0199458,0.0004569,0.0204027,5,4,1
58,63.53496193885803,18,54489.0,1099,0.004086675,0.0003297,0.0044163749999999,3,2,1
59,65.00520730018616,19,186703.0,1587,0.014002725,0.0004760999999999,0.014478825,3,2,1
60,74.68555402755737,22,378812.0,1806,0.0284109,0.0005417999999999,0.0289526999999999,3,2,1
56,270.8930833339691,16,74279.0,1556,0.005570925,0.0004667999999999,0.006037725,3,2,1
62,99.82764768600464,8,23907.0,920,0.001793025,0.000276,0.002069025,2,1,1
63,87.58040499687195,9,42004.0,812,0.0031502999999999,0.0002435999999999,0.0033938999999999,2,1,1
64,78.96272706985474,8,14231.0,680,0.001067325,0.000204,0.001271325,1,1,0
66,98.28916764259338,12,70683.0,1575,0.005301225,0.0004725,0.0057737249999999,2,1,1
65,140.2869439125061,11,62125.0,903,0.004659375,0.0002708999999999,0.004930275,2,1,1
52,611.2580938339233,17,83312.0,2190,0.0062483999999999,0.000657,0.0069053999999999,4,4,0
61,461.4662461280823,9,31585.0,752,0.002368875,0.0002255999999999,0.0025944749999999,2,1,1
70,11.56502366065979,7,12775.0,500,0.000958125,0.00015,0.001108125,1,1,0
69,109.7030951976776,8,20440.0,1767,0.001533,0.0005301,0.0020631,1,0,1
72,7.11412501335144,5,11432.0,228,0.0008574,6.84e-05,0.0009258,1,1,0
67,180.148321390152,21,208175.0,2589,0.015613125,0.0007767,0.016389825,3,3,0
73,14.162988424301147,8,17077.0,699,0.0012807749999999,0.0002097,0.0014904749999999,1,0,1
74,34.24729514122009,11,49899.0,1145,0.0037424249999999,0.0003435,0.004085925,2,2,0
75,51.21973896026611,26,125661.0,1439,0.009424575,0.0004317,0.009856275,4,3,1
71,103.69352340698242,9,26472.0,689,0.0019854,0.0002066999999999,0.0021920999999999,2,1,1
68,224.31785655021667,11,92147.0,8281,0.0069110249999999,0.0024842999999999,0.009395325,2,1,1
79,42.58441209793091,22,161063.0,1265,0.012079725,0.0003795,0.012459225,4,3,1
78,72.924063205719,22,104832.0,2291,0.0078624,0.0006873,0.0085497,3,3,0
77,119.25210309028624,8,20447.0,738,0.0015335249999999,0.0002214,0.0017549249999999,1,1,0
80,59.348493814468384,12,24759.0,906,0.001856925,0.0002718,0.0021287249999999,2,1,1
76,178.87296438217163,11,59059.0,1007,0.004429425,0.0003020999999999,0.0047315249999999,2,2,0
83,35.596394300460815,11,42688.0,1143,0.0032015999999999,0.0003429,0.0035445,2,2,0
84,32.41530227661133,12,29743.0,777,0.002230725,0.0002331,0.0024638249999999,2,1,1
85,44.33775544166565,8,28507.0,650,0.002138025,0.000195,0.002333025,1,1,0
81,165.42400598526,15,76626.0,969,0.00574695,0.0002906999999999,0.0060376499999999,2,2,0
82,164.8662829399109,21,93005.0,1531,0.006975375,0.0004593,0.007434675,4,3,1
88,26.46005868911743,13,50249.0,1278,0.0037686749999999,0.0003834,0.004152075,3,2,1
87,95.1211416721344,9,44027.0,847,0.003302025,0.0002541,0.003556125,2,1,1
90,14.30888557434082,8,18817.0,1286,0.0014112749999999,0.0003858,0.0017970749999999,1,1,0
86,131.3187747001648,25,234028.0,1645,0.0175520999999999,0.0004935,0.0180456,4,3,1
93,40.37868118286133,12,81989.0,1403,0.006149175,0.0004209,0.006570075,2,1,1
91,91.9911880493164,12,141302.0,9407,0.01059765,0.0028220999999999,0.01341975,2,1,1
95,31.713409185409542,12,147340.0,1185,0.0110505,0.0003555,0.011406,2,1,1
94,120.90992879867554,12,69518.0,1435,0.0052138499999999,0.0004305,0.0056443499999999,2,1,1
89,230.57699298858645,17,104902.0,1695,0.00786765,0.0005085,0.00837615,3,3,0
92,217.2386124134064,26,351135.0,2280,0.026335125,0.000684,0.027019125,4,3,1
98,34.05022311210632,15,54159.0,1039,0.004061925,0.0003117,0.004373625,3,2,1
97,115.42694807052612,22,69460.0,1694,0.0052095,0.0005082,0.0057177,3,3,0
99,120.4154441356659,24,149612.0,1387,0.011220899999999999,0.0004161,0.011636999999999998,4,3,1
