ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
0,338.15969228744507,13,68342.0,1362,0.00512565,0.0004085999999999,0.00553425,3,2,1
2,48.6631760597229,8,37861.0,666,0.002839575,0.0001997999999999,0.003039375,2,1,1
3,93.79605197906494,7,21392.0,538,0.0016044,0.0001614,0.0017657999999999,1,0,1
1,761.7893738746643,21,96468.0,1626,0.0072350999999999,0.0004877999999999,0.0077228999999999,3,2,1
4,377.7238111495972,27,341635.0,2654,0.025622625,0.0007962,0.026418825,5,4,1
6,50.656665086746216,12,48074.0,929,0.00360555,0.0002787,0.0038842499999999,2,1,1
7,36.193979024887085,8,49270.0,863,0.00369525,0.0002588999999999,0.00395415,1,1,0
8,35.685699462890625,12,143688.0,1188,0.0107766,0.0003564,0.011133,2,1,1
9,95.5947835445404,12,73871.0,1378,0.005540325,0.0004133999999999,0.005953725,2,1,1
10,357.52835297584534,11,47815.0,906,0.003586125,0.0002718,0.003857925,2,1,1
11,11.83382511138916,8,12418.0,564,0.00093135,0.0001692,0.00110055,1,1,0
12,13.453250169754028,8,17648.0,961,0.0013235999999999,0.0002883,0.0016118999999999,1,1,0
5,1072.374793767929,25,148426.0,2208,0.0111319499999999,0.0006624,0.0117943499999999,4,3,1
14,8.329247236251831,5,19835.0,340,0.001487625,0.000102,0.001589625,1,0,1
13,386.6423931121826,18,58971.0,1702,0.004422825,0.0005105999999999,0.004933425,3,2,1
16,16.55424165725708,8,11715.0,764,0.000878625,0.0002292,0.001107825,2,1,1
17,9.665626764297484,8,10914.0,953,0.0008185499999999,0.0002858999999999,0.0011044499999999,1,1,0
18,46.19742465019226,11,29497.0,922,0.002212275,0.0002765999999999,0.002488875,3,2,1
19,15.003258228302002,9,23148.0,697,0.0017361,0.0002091,0.0019452,2,1,1
15,119.03739738464355,11,35187.0,1373,0.002639025,0.0004119,0.003050925,2,1,1
