ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
3,23.66404914855957,9,54504.0,1171,0.0040878,0.0003513,0.0044391,2,2,0
0,40.35020613670349,12,71658.0,947,0.0053743499999999,0.0002840999999999,0.0056584499999999,3,3,0
2,60.56490969657898,12,61490.0,1143,0.00461175,0.0003429,0.00495465,2,2,0
4,118.73741292953493,13,44334.0,530,0.0033250499999999,0.000159,0.0034840499999999,3,3,0
7,12.78132438659668,8,65952.0,1067,0.0049463999999999,0.0003201,0.0052664999999999,1,1,0
6,132.68284511566162,22,341874.0,1996,0.0256405499999999,0.0005987999999999,0.0262393499999999,3,3,0
8,40.595688343048096,12,96828.0,1320,0.0072621,0.000396,0.0076580999999999,2,2,0
9,67.1032612323761,8,74680.0,948,0.005601,0.0002844,0.0058854,1,1,0
10,75.13439130783081,12,36000.0,919,0.0027,0.0002757,0.0029757,2,2,0
12,13.541053771972656,8,17895.0,1037,0.001342125,0.0003110999999999,0.001653225,1,1,0
11,47.65515470504761,8,14852.0,644,0.0011139,0.0001931999999999,0.0013070999999999,1,1,0
13,51.711817264556885,19,218805.0,1739,0.016410375,0.0005216999999999,0.016932075,4,4,0
1,365.6725528240204,8,37439.0,767,0.0028079249999999,0.0002300999999999,0.0030380249999999,1,1,0
14,65.55261445045471,12,38575.0,1093,0.002893125,0.0003279,0.0032210249999999,2,2,0
17,23.2872531414032,11,87623.0,1152,0.006571725,0.0003455999999999,0.0069173249999999,2,2,0
16,31.85536193847656,11,43958.0,630,0.00329685,0.000189,0.00348585,2,2,0
15,91.36913704872131,11,32701.0,1304,0.002452575,0.0003911999999999,0.0028437749999999,2,2,0
19,55.65090298652649,15,53190.0,1410,0.00398925,0.000423,0.0044122499999999,3,3,0
20,70.12790703773499,15,50116.0,1270,0.0037587,0.000381,0.0041397,2,2,0
18,117.78973197937012,12,42519.0,1028,0.0031889249999999,0.0003083999999999,0.0034973249999999,2,2,0
23,19.34759211540222,8,165523.0,746,0.012414225,0.0002238,0.012638025,1,1,0
22,54.17469549179077,9,44275.0,527,0.003320625,0.0001581,0.003478725,2,2,0
25,13.942566871643066,8,22329.0,834,0.001674675,0.0002502,0.001924875,1,1,0
26,23.96945595741272,12,45138.0,1012,0.00338535,0.0003035999999999,0.00368895,2,2,0
24,83.48544979095459,8,23875.0,1126,0.001790625,0.0003378,0.0021284249999999,1,1,0
28,20.786450386047363,12,35252.0,1428,0.0026439,0.0004283999999999,0.0030723,2,2,0
5,715.6854333877563,19,94465.0,1716,0.007084875,0.0005147999999999,0.007599675,3,3,0
