ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
0,15.042049884796144,8,19857.0,343,0.0014892749999999,0.0001029,0.0015921749999999,2,1,1
2,14.4201021194458,8,28090.0,352,0.00210675,0.0001055999999999,0.00221235,2,1,1
1,53.43909549713135,15,101089.0,948,0.0075816749999999,0.0002844,0.007866075,2,1,1
3,52.13346791267395,21,146953.0,1219,0.011021475,0.0003657,0.011387175,4,3,1
4,49.33545780181885,15,151929.0,779,0.011394675,0.0002337,0.011628375,2,1,1
5,28.763340950012207,12,102123.0,856,0.0076592249999999,0.0002568,0.007916025,2,1,1
6,12.954015254974363,8,19664.0,551,0.0014747999999999,0.0001652999999999,0.0016400999999999,1,0,1
7,61.85951447486877,24,115248.0,1555,0.0086436,0.0004665,0.0091101,4,4,0
8,71.57209587097168,12,166401.0,9876,0.0124800749999999,0.0029628,0.0154428749999999,2,1,1
9,31.59195232391357,12,110232.0,816,0.0082674,0.0002448,0.0085122,2,1,1
10,23.97579050064087,11,46107.0,642,0.003458025,0.0001926,0.003650625,2,1,1
11,17.58493661880493,8,34116.0,498,0.0025586999999999,0.0001494,0.0027080999999999,1,1,0
12,41.588865518569946,18,89231.0,891,0.006692325,0.0002673,0.006959625,3,3,0
14,9.976879119873049,5,19801.0,238,0.001485075,7.139999999999999e-05,0.0015564749999999,1,0,1
15,72.89090943336487,11,19455.0,807,0.001459125,0.0002421,0.001701225,3,2,1
13,121.1614546775818,22,150577.0,1013,0.011293275,0.0003038999999999,0.011597175,4,3,1
17,11.760887384414673,8,11940.0,428,0.0008955,0.0001284,0.0010239,1,1,0
16,65.23996877670288,17,153397.0,1134,0.011504775,0.0003402,0.011844975,5,4,1
18,47.384044885635376,16,71185.0,807,0.005338875,0.0002421,0.005580975,2,2,0
20,24.47411155700684,10,24140.0,1089,0.0018105,0.0003266999999999,0.0021372,2,2,0
19,65.08141660690308,12,139092.0,519,0.0104319,0.0001557,0.0105875999999999,2,1,1
21,49.55830264091492,16,275453.0,1072,0.020658975,0.0003215999999999,0.0209805749999999,2,2,0
22,17.79200267791748,6,53075.0,387,0.003980625,0.0001160999999999,0.004096725,2,1,1
23,36.752015590667725,18,57838.0,661,0.00433785,0.0001983,0.00453615,3,3,0
24,38.54506540298462,15,113800.0,620,0.008535,0.000186,0.008721,2,2,0
26,11.908722400665283,7,16492.0,215,0.0012368999999999,6.45e-05,0.0013013999999999,1,0,1
25,74.33060908317566,20,470480.0,1315,0.035286,0.0003945,0.0356805,3,3,0
27,69.42356967926025,12,140100.0,988,0.0105075,0.0002964,0.0108039,2,1,1
28,62.13809871673584,24,141022.0,777,0.01057665,0.0002331,0.01080975,5,5,0
29,45.84931468963623,18,114107.0,1153,0.008558025,0.0003458999999999,0.008903925,4,4,0
31,13.252520322799684,8,17368.0,553,0.0013026,0.0001659,0.0014685,1,1,0
30,31.359134435653687,15,58693.0,1309,0.004401975,0.0003927,0.004794675,2,1,1
32,38.78000807762146,17,92212.0,959,0.0069159,0.0002877,0.0072036,4,4,0
34,31.97451448440552,12,101075.0,1069,0.007580625,0.0003207,0.0079013249999999,2,1,1
33,77.00301575660706,27,358082.0,1944,0.02685615,0.0005832,0.0274393499999999,5,5,0
36,16.98838233947754,8,30550.0,685,0.00229125,0.0002055,0.00249675,1,1,0
35,42.98286271095276,12,224355.0,1593,0.016826625,0.0004778999999999,0.017304525,2,1,1
37,54.87601828575134,24,155281.0,1028,0.0116460749999999,0.0003083999999999,0.0119544749999999,4,3,1
38,54.59511089324951,12,89410.0,1161,0.00670575,0.0003483,0.00705405,2,1,1
39,13.423306941986084,7,20695.0,669,0.001552125,0.0002007,0.001752825,2,1,1
40,29.577528715133667,15,30089.0,745,0.0022566749999999,0.0002235,0.002480175,3,3,0
42,39.29642629623413,16,202612.0,791,0.0151959,0.0002373,0.0154332,3,3,0
41,66.0002326965332,23,276891.0,1189,0.020766825,0.0003567,0.021123525,4,4,0
43,30.139920473098755,14,30893.0,861,0.0023169749999999,0.0002583,0.0025752749999999,3,3,0
44,43.505297899246216,16,83224.0,1131,0.0062418,0.0003393,0.0065811,4,3,1
45,25.24736189842224,11,33315.0,783,0.002498625,0.0002349,0.002733525,2,1,1
47,13.645375967025757,6,21375.0,317,0.001603125,9.51e-05,0.001698225,2,1,1
46,51.247763872146606,24,62937.0,1289,0.0047202749999999,0.0003866999999999,0.005106975,4,4,0
48,45.47868347167969,20,201682.0,1071,0.01512615,0.0003213,0.01544745,3,3,0
50,14.201886177062988,8,13827.0,461,0.0010370249999999,0.0001382999999999,0.0011753249999999,1,1,0
49,55.89498591423035,19,405891.0,881,0.030441825,0.0002643,0.0307061249999999,3,3,0
51,30.694437503814697,16,45160.0,715,0.003387,0.0002145,0.0036014999999999,3,3,0
52,15.06843113899231,8,15997.0,955,0.001199775,0.0002865,0.001486275,1,1,0
53,17.266641855239868,8,56250.0,564,0.00421875,0.0001692,0.00438795,1,1,0
55,12.868300676345823,8,7772.0,615,0.0005829,0.0001845,0.0007674,1,1,0
54,32.600890159606934,13,147924.0,880,0.0110943,0.000264,0.0113583,2,2,0
56,32.505507946014404,12,112191.0,832,0.0084143249999999,0.0002496,0.008663925,2,1,1
57,30.86841893196106,16,75442.0,635,0.00565815,0.0001905,0.0058486499999999,4,3,1
58,74.89802026748657,17,314864.0,627,0.0236148,0.0001881,0.0238029,3,2,1
59,85.43844628334045,25,487106.0,1378,0.0365329499999999,0.0004133999999999,0.0369463499999999,4,3,1
61,69.47339749336243,22,233001.0,1002,0.017475075,0.0003006,0.017775675,5,4,1
60,117.45123648643494,15,76498.0,711,0.00573735,0.0002132999999999,0.0059506499999999,2,1,1
62,22.983051300048828,10,27209.0,544,0.002040675,0.0001631999999999,0.002203875,3,2,1
63,44.70110034942627,9,31196.0,686,0.0023396999999999,0.0002058,0.0025454999999999,2,1,1
64,61.14684152603149,19,95780.0,809,0.0071835,0.0002427,0.0074262,6,6,0
66,25.901155710220337,12,56527.0,747,0.004239525,0.0002241,0.004463625,2,1,1
65,76.55622553825378,20,108992.0,1070,0.0081744,0.000321,0.0084954,4,3,1
67,52.7284574508667,22,148389.0,1554,0.011129175,0.0004662,0.011595375,3,3,0
68,30.02955317497253,10,56123.0,1940,0.004209225,0.000582,0.004791225,2,1,1
69,43.03953289985657,18,48521.0,654,0.003639075,0.0001962,0.003835275,3,2,1
70,45.67675471305847,18,118694.0,1098,0.00890205,0.0003294,0.00923145,3,3,0
72,15.27307391166687,8,30859.0,548,0.0023144249999999,0.0001644,0.0024788249999999,1,1,0
71,36.36321043968201,9,108590.0,634,0.00814425,0.0001902,0.00833445,2,1,1
73,41.98908162117005,12,53033.0,928,0.003977475,0.0002784,0.004255875,2,1,1
75,79.85053157806396,15,585589.0,896,0.043919175,0.0002688,0.044187975,2,1,1
76,38.218032121658325,15,91931.0,928,0.0068948249999999,0.0002784,0.0071732249999999,4,3,1
74,164.72076225280762,18,135840.0,1068,0.010188,0.0003204,0.0105084,3,3,0
77,13.979785442352297,10,16905.0,353,0.001267875,0.0001058999999999,0.0013737749999999,1,1,0
79,20.15846419334412,12,40040.0,538,0.003003,0.0001614,0.0031644,2,1,1
78,36.38215446472168,15,118540.0,1029,0.0088905,0.0003086999999999,0.0091992,2,2,0
80,42.49084162712097,8,17685.0,459,0.001326375,0.0001376999999999,0.001464075,2,1,1
81,29.226616621017456,14,108039.0,749,0.0081029249999999,0.0002247,0.0083276249999999,2,1,1
82,47.76707696914673,21,144806.0,1846,0.0108604499999999,0.0005537999999999,0.0114142499999999,4,3,1
83,52.50256943702698,20,167625.0,1194,0.012571875,0.0003582,0.012930075,5,4,1
85,13.653588056564333,8,24949.0,374,0.0018711749999999,0.0001122,0.001983375,1,1,0
84,40.64721775054932,12,33176.0,1132,0.0024882,0.0003395999999999,0.0028277999999999,2,1,1
86,25.289111137390137,11,44020.0,1035,0.0033015,0.0003105,0.003612,2,1,1
87,12.332026958465576,8,19217.0,250,0.0014412749999999,7.5e-05,0.0015162749999999,2,1,1
88,20.10404253005981,9,49398.0,520,0.00370485,0.000156,0.00386085,2,1,1
90,18.57089066505432,8,37742.0,567,0.00283065,0.0001701,0.00300075,1,1,0
89,46.07565426826477,20,180024.0,863,0.0135018,0.0002588999999999,0.0137606999999999,3,3,0
91,27.734525442123413,12,122153.0,1181,0.009161475,0.0003543,0.009515775,2,1,1
92,46.0797426700592,12,81958.0,932,0.00614685,0.0002795999999999,0.0064264499999999,2,1,1
93,73.77592754364014,25,182189.0,1513,0.0136641749999999,0.0004539,0.0141180749999999,4,3,1
94,48.63943696022034,22,101610.0,819,0.00762075,0.0002457,0.00786645,4,3,1
95,36.18774032592773,12,128464.0,1021,0.0096347999999999,0.0003063,0.0099411,2,1,1
96,35.14645743370056,18,70277.0,728,0.0052707749999999,0.0002184,0.0054891749999999,4,3,1
97,16.114718437194824,8,44907.0,555,0.003368025,0.0001665,0.003534525,1,1,0
98,35.98654389381409,8,24063.0,609,0.0018047249999999,0.0001827,0.0019874249999999,2,1,1
99,70.72617983818054,26,194752.0,1462,0.0146064,0.0004386,0.015045000000000001,4,3,1
