ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
0,27.44399285316468,11,104762.0,1228,0.00785715,0.0003683999999999,0.00822555,2,2,0
2,26.76802706718445,15,64592.0,1396,0.0048444,0.0004188,0.0052631999999999,2,2,0
1,59.637542963027954,11,54928.0,1475,0.0041195999999999,0.0004425,0.0045620999999999,2,2,0
3,17.769005060195923,8,52631.0,1019,0.003947325,0.0003057,0.004253025,1,1,0
5,21.33206295967102,9,37973.0,1213,0.002847975,0.0003638999999999,0.003211875,2,1,1
6,13.692093849182127,8,35604.0,611,0.0026702999999999,0.0001832999999999,0.0028535999999999,1,0,1
7,16.615363836288452,9,30299.0,1271,0.002272425,0.0003813,0.002653725,2,2,0
8,127.37429094314577,29,357351.0,2255,0.026801325,0.0006765,0.027477825,6,5,1
9,74.51403832435608,22,250007.0,1719,0.0187505249999999,0.0005156999999999,0.0192662249999999,3,2,1
10,22.38557362556457,11,54822.0,1031,0.00411165,0.0003093,0.00442095,2,1,1
11,12.924033164978027,8,12864.0,909,0.0009647999999999,0.0002727,0.0012374999999999,1,1,0
4,490.1216628551483,19,73937.0,2301,0.005545275,0.0006902999999999,0.0062355749999999,4,3,1
13,11.18907904624939,7,16623.0,461,0.001246725,0.0001382999999999,0.001385025,1,1,0
14,15.745847940444946,8,39827.0,931,0.002987025,0.0002793,0.003266325,1,1,0
12,227.39727973937988,21,175195.0,2247,0.013139625,0.0006741,0.013813725,4,3,1
15,14.896636247634888,8,34336.0,838,0.0025751999999999,0.0002514,0.0028266,1,1,0
16,70.83960223197937,14,61625.0,1241,0.004621875,0.0003723,0.004994175,2,2,0
18,14.369271755218506,8,69989.0,861,0.005249175,0.0002583,0.005507475,1,1,0
19,9.018409490585327,8,13297.0,929,0.000997275,0.0002787,0.001275975,1,1,0
20,49.698033809661865,15,59845.0,1392,0.004488375,0.0004175999999999,0.004905975,2,2,0
21,21.22276401519776,12,37991.0,1307,0.0028493249999999,0.0003921,0.0032414249999999,2,2,0
17,195.05478739738464,9,34805.0,1091,0.002610375,0.0003273,0.002937675,2,2,0
23,13.51239848136902,8,14322.0,1021,0.0010741499999999,0.0003063,0.0013804499999999,1,1,0
24,49.40303587913513,12,33666.0,917,0.0025249499999999,0.0002750999999999,0.0028000499999999,2,2,0
25,11.98131775856018,8,9616.0,645,0.0007212,0.0001935,0.0009147,1,1,0
26,18.60126304626465,12,34285.0,1602,0.002571375,0.0004805999999999,0.0030519749999999,2,2,0
27,25.245514154434204,11,25324.0,1152,0.0018993,0.0003455999999999,0.0022449,2,2,0
28,22.21241235733032,10,99762.0,1572,0.00748215,0.0004715999999999,0.0079537499999999,1,1,0
29,54.888129234313965,11,164860.0,1164,0.0123645,0.0003492,0.0127137,2,2,0
30,269.0015597343445,14,55825.0,1322,0.004186875,0.0003966,0.004583475,2,2,0
31,11.728899002075195,8,12349.0,649,0.000926175,0.0001947,0.001120875,1,1,0
32,11.531246185302734,8,9320.0,824,0.000699,0.0002472,0.0009461999999999,1,1,0
22,521.3374559879303,26,225429.0,1868,0.016907175,0.0005604,0.017467575,6,5,1
34,14.23596215248108,8,31485.0,711,0.002361375,0.0002132999999999,0.002574675,1,1,0
33,15.236515283584597,8,19678.0,790,0.00147585,0.000237,0.00171285,1,1,0
35,11.127270698547363,8,14616.0,675,0.0010962,0.0002025,0.0012987,1,1,0
36,11.758111238479614,7,12711.0,795,0.000953325,0.0002385,0.001191825,1,1,0
37,69.46302390098572,20,108019.0,1933,0.0081014249999999,0.0005799,0.0086813249999999,4,4,0
38,113.51164889335632,23,191916.0,2364,0.0143936999999999,0.0007091999999999,0.0151028999999999,4,4,0
39,91.75602793693542,22,203929.0,2096,0.0152946749999999,0.0006288,0.015923475,4,4,0
41,23.353184938430783,12,96548.0,1538,0.0072410999999999,0.0004614,0.0077024999999999,2,2,0
