ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
2,13.866416215896606,8,22317.0,754,0.001673775,0.0002262,0.001899975,1,1,0
3,18.4809205532074,8,51401.0,1038,0.003855075,0.0003114,0.004166475,1,1,0
4,16.11620831489563,8,62593.0,1010,0.0046944749999999,0.000303,0.0049974749999999,1,1,0
0,32.355162143707275,11,104362.0,1032,0.00782715,0.0003096,0.00813675,2,2,0
5,31.55353784561157,9,41723.0,614,0.003129225,0.0001841999999999,0.0033134249999999,2,2,0
6,30.57188081741333,12,178203.0,1064,0.013365225,0.0003192,0.013684425,2,2,0
1,97.38737487792967,16,123330.0,1386,0.00924975,0.0004158,0.0096655499999999,3,3,0
8,47.78563475608826,23,162306.0,1512,0.0121729499999999,0.0004535999999999,0.0126265499999999,4,4,0
11,12.566799879074097,8,12830.0,962,0.00096225,0.0002885999999999,0.00125085,1,1,0
12,77.05005931854248,19,230576.0,1800,0.0172932,0.00054,0.0178332,3,3,0
7,162.89647126197815,8,28594.0,1287,0.00214455,0.0003860999999999,0.0025306499999999,1,1,0
13,11.885059833526611,7,16177.0,702,0.0012132749999999,0.0002106,0.0014238749999999,1,1,0
15,17.0267653465271,8,34625.0,1114,0.002596875,0.0003342,0.002931075,1,1,0
10,128.90944266319275,26,231307.0,1950,0.0173480249999999,0.000585,0.0179330249999999,5,5,0
9,166.37830233573914,21,138089.0,2129,0.010356675,0.0006387,0.010995375,4,4,0
16,11.305629253387451,8,17380.0,1120,0.0013035,0.000336,0.0016395,1,1,0
14,39.29999470710754,12,56602.0,1592,0.00424515,0.0004775999999999,0.0047227499999999,2,2,0
17,13.566988468170166,8,28805.0,906,0.002160375,0.0002718,0.002432175,2,2,0
18,15.214777708053589,8,69991.0,843,0.005249325,0.0002528999999999,0.005502225,1,1,0
20,11.4890296459198,8,21948.0,583,0.0016461,0.0001749,0.001821,1,1,0
23,19.676896810531616,11,23780.0,1445,0.0017835,0.0004335,0.002217,2,2,0
21,105.26986598968506,12,32420.0,1627,0.0024315,0.0004881,0.0029196,2,2,0
25,12.720098495483398,8,9860.0,792,0.0007395,0.0002376,0.0009771,1,1,0
24,121.71640253067017,12,24448.0,1377,0.0018336,0.0004130999999999,0.0022467,2,2,0
19,176.79744172096252,12,64647.0,1286,0.0048485249999999,0.0003858,0.005234325,2,2,0
26,49.01610159873962,15,44051.0,2023,0.003303825,0.0006069,0.0039107249999999,2,2,0
27,19.95802330970764,11,37508.0,1561,0.0028131,0.0004682999999999,0.0032814,2,2,0
28,12.624103784561155,8,35180.0,943,0.0026385,0.0002829,0.0029213999999999,1,1,0
30,22.63910937309265,12,60795.0,1469,0.004559625,0.0004407,0.005000325,2,2,0
31,12.96490240097046,8,12468.0,773,0.0009350999999999,0.0002318999999999,0.0011669999999999,1,1,0
32,11.213876247406006,8,14488.0,759,0.0010865999999999,0.0002276999999999,0.0013142999999999,1,1,0
34,14.26297688484192,8,32755.0,838,0.002456625,0.0002514,0.002708025,1,1,0
35,11.297824382781982,8,14596.0,735,0.0010947,0.0002205,0.0013152,1,1,0
36,13.846924543380736,8,18942.0,682,0.0014206499999999,0.0002045999999999,0.00162525,1,1,0
37,22.56023740768433,12,57057.0,1342,0.004279275,0.0004026,0.004681875,2,2,0
33,118.58462357521056,11,69139.0,780,0.005185425,0.000234,0.005419425,2,2,0
22,317.81362438201904,8,24354.0,707,0.00182655,0.0002121,0.00203865,1,1,0
39,70.03702878952026,11,107854.0,1223,0.0080890499999999,0.0003669,0.0084559499999999,2,2,0
40,62.99720025062561,14,29348.0,1470,0.0022011,0.000441,0.0026421,2,2,0
38,122.6264786720276,25,189721.0,2453,0.0142290749999999,0.0007358999999999,0.0149649749999999,4,4,0
41,20.32848691940308,12,86729.0,1591,0.006504675,0.0004772999999999,0.006981975,2,2,0
42,18.39625096321106,11,36342.0,1484,0.00272565,0.0004452,0.00317085,2,2,0
45,12.225841760635376,8,9734.0,741,0.00073005,0.0002222999999999,0.00095235,1,1,0
46,13.096147537231444,8,26908.0,780,0.0020181,0.000234,0.0022521,1,1,0
29,290.7985439300537,11,92547.0,1173,0.006941025,0.0003519,0.007292925,2,2,0
44,383.03149461746216,12,24760.0,1195,0.001857,0.0003585,0.0022155,2,2,0
47,359.41122698783875,7,24589.0,608,0.001844175,0.0001824,0.002026575,1,1,0
49,23.68073534965515,12,33684.0,1191,0.0025262999999999,0.0003573,0.0028835999999999,2,2,0
50,22.936367750167847,12,44016.0,1372,0.0033012,0.0004116,0.0037127999999999,2,2,0
48,368.5485153198242,15,62649.0,1211,0.004698675,0.0003633,0.005061975,3,3,0
52,50.625476360321045,8,22661.0,887,0.001699575,0.0002660999999999,0.001965675,1,1,0
54,17.090697288513184,12,21244.0,1622,0.0015933,0.0004865999999999,0.0020799,2,2,0
55,12.0644211769104,11,12460.0,1149,0.0009345,0.0003447,0.0012791999999999,2,2,0
56,28.74564743041992,12,51381.0,1566,0.0038535749999999,0.0004698,0.004323375,2,2,0
57,12.198319673538208,8,10720.0,841,0.000804,0.0002523,0.0010563,1,1,0
