ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
3,18.658443212509155,9,36465.0,953,0.002734875,0.0002858999999999,0.003020775,2,1,1
1,20.886615753173828,11,12893.0,520,0.0009669749999999,0.000156,0.001122975,2,2,0
0,26.73652648925781,11,28797.0,1191,0.002159775,0.0003573,0.002517075,2,1,1
5,17.190484285354614,8,26896.0,1060,0.0020172,0.000318,0.0023352,1,0,1
6,14.55229139328003,8,35544.0,608,0.0026658,0.0001824,0.0028482,1,0,1
2,60.02373814582825,17,504553.0,941,0.037841475,0.0002823,0.038123775,3,3,0
4,46.78236937522888,20,116466.0,1163,0.0087349499999999,0.0003488999999999,0.0090838499999999,4,3,1
7,38.909414529800415,16,58081.0,1151,0.004356075,0.0003453,0.004701375,3,3,0
9,18.08021235466004,8,52326.0,829,0.0039244499999999,0.0002487,0.00417315,1,0,1
8,43.874510049819946,21,253197.0,811,0.0189897749999999,0.0002432999999999,0.0192330749999999,4,3,1
11,12.30882477760315,8,8822.0,484,0.00066165,0.0001451999999999,0.0008068499999999,1,1,0
13,12.568331003189089,8,23969.0,458,0.0017976749999999,0.0001374,0.0019350749999999,1,0,1
15,14.633006811141968,8,22024.0,550,0.0016518,0.000165,0.0018168,1,1,0
14,25.20883011817932,10,24038.0,703,0.00180285,0.0002109,0.00201375,2,1,1
12,45.65854072570801,14,223831.0,708,0.016787325,0.0002124,0.016999725,3,2,1
17,17.919728994369507,8,18373.0,354,0.0013779749999999,0.0001062,0.001484175,1,1,0
18,17.587422132492065,8,32707.0,747,0.002453025,0.0002241,0.002677125,1,1,0
16,53.89044618606568,24,258171.0,1215,0.019362825,0.0003645,0.019727325,4,4,0
10,116.68583726882936,24,155621.0,1964,0.0116715749999999,0.0005891999999999,0.0122607749999999,4,3,1
20,52.050270318984985,20,412805.0,914,0.030960375,0.0002742,0.0312345749999999,3,3,0
