ID,Duration,Model/Calls,Model/Input tokens,Model/Output tokens,Model/Input tokens cost,Model/Output tokens cost,Model/Total cost,Tools/searcher/Total searches,Tools/searcher/Search engine calls/google,Tools/searcher/Search engine calls/google_vision
3,10.29881477355957,5,34349.0,286,0.0025761749999999,8.58e-05,0.0026619749999999,1,1,0
2,14.8950035572052,8,22987.0,920,0.001724025,0.000276,0.002000025,1,1,0
1,15.305027961730955,8,41964.0,799,0.0031472999999999,0.0002397,0.0033869999999999,1,1,0
4,21.94051694869995,12,33354.0,1165,0.0025015499999999,0.0003495,0.0028510499999999,2,2,0
0,27.10203671455384,11,104883.0,1098,0.007866225,0.0003294,0.008195625,2,2,0
5,17.843835592269897,8,26185.0,1028,0.001963875,0.0003083999999999,0.002272275,1,0,1
7,13.643405199050903,8,20158.0,905,0.00151185,0.0002715,0.00178335,1,1,0
11,13.461108684539797,8,12830.0,977,0.00096225,0.0002930999999999,0.00125535,1,1,0
6,30.853344440460205,12,146103.0,1082,0.010957725,0.0003246,0.011282325,2,2,0
13,11.28792929649353,7,16911.0,518,0.001268325,0.0001554,0.001423725,1,1,0
8,35.07621192932129,19,143531.0,1512,0.0107648249999999,0.0004535999999999,0.0112184249999999,3,2,1
9,55.54654288291931,12,52309.0,1104,0.003923175,0.0003312,0.004254375,2,1,1
15,31.15434098243713,8,34492.0,904,0.0025869,0.0002712,0.0028581,1,1,0
14,38.519978284835815,12,55982.0,1284,0.00419865,0.0003852,0.0045838499999999,2,2,0
18,14.54527759552002,8,70226.0,804,0.0052669499999999,0.0002411999999999,0.0055081499999999,1,1,0
19,7.812721490859985,8,12987.0,766,0.000974025,0.0002297999999999,0.001203825,1,1,0
12,69.02548336982727,22,110183.0,1850,0.008263725,0.000555,0.008818725,5,4,1
20,11.237969160079956,8,22052.0,586,0.0016538999999999,0.0001758,0.0018296999999999,1,1,0
23,12.99722170829773,8,14309.0,1014,0.001073175,0.0003041999999999,0.001377375,1,1,0
16,48.39897418022156,12,27110.0,1531,0.00203325,0.0004593,0.00249255,2,2,0
24,10.943360567092896,8,12973.0,585,0.000972975,0.0001755,0.001148475,1,1,0
21,49.64320015907288,12,27426.0,1208,0.0020569499999999,0.0003623999999999,0.00241935,2,2,0
26,17.805935621261597,12,37706.0,1476,0.0028279499999999,0.0004428,0.00327075,2,2,0
27,17.891464233398438,11,37096.0,1295,0.0027822,0.0003885,0.0031707,2,2,0
28,15.456880331039429,8,72114.0,1005,0.00540855,0.0003015,0.0057100499999999,1,1,0
25,48.04534077644348,8,13436.0,785,0.0010076999999999,0.0002355,0.0012431999999999,1,1,0
29,22.578930854797363,11,104094.0,1366,0.0078070499999999,0.0004098,0.00821685,2,2,0
32,11.569887161254885,8,9285.0,759,0.000696375,0.0002276999999999,0.000924075,1,1,0
31,42.26728200912476,8,12745.0,935,0.000955875,0.0002805,0.001236375,1,1,0
34,14.655117750167848,8,31610.0,733,0.00237075,0.0002199,0.00259065,1,1,0
33,33.09045219421387,11,75927.0,708,0.005694525,0.0002124,0.0059069249999999,2,2,0
35,10.871262311935425,8,14700.0,685,0.0011025,0.0002055,0.001308,1,1,0
36,13.788853168487549,8,31362.0,848,0.00235215,0.0002544,0.00260655,1,1,0
38,15.881789207458496,8,45770.0,1023,0.00343275,0.0003069,0.00373965,1,1,0
39,70.96153783798218,12,62590.0,1299,0.00469425,0.0003897,0.0050839499999999,2,2,0
40,12.1112699508667,8,11060.0,678,0.0008295,0.0002034,0.0010329,1,1,0
41,8.790690183639526,8,37272.0,862,0.0027954,0.0002585999999999,0.003054,1,1,0
17,315.71509647369385,8,28886.0,985,0.00216645,0.0002955,0.00246195,2,2,0
42,46.38517069816589,18,70519.0,2480,0.005288925,0.000744,0.006032925,3,3,0
43,13.243269681930542,8,21955.0,873,0.001646625,0.0002618999999999,0.001908525,1,1,0
44,15.259560346603394,8,17006.0,909,0.00127545,0.0002727,0.00154815,1,1,0
45,12.352493286132812,8,9684.0,684,0.0007262999999999,0.0002052,0.0009314999999999,1,1,0
30,252.2642548084259,12,50486.0,1033,0.00378645,0.0003099,0.0040963499999999,2,2,0
