,id,Website,Article_URL,Headline,Claim_Date,Review_Date,Query/Keyword,Label_Website,Image_URL,Original_Claim_Only,Context/Label_Explanation,Text_Only_Claim,Normal_Image,AI_Generated_Image,Altered_Image
0,0,misbar.com,https://www.misbar.com/en/factcheck/2025/04/18/image-does-not-show-debris-turkish-made-bomb-dropped-gaza,Image Does Not Show Debris of Turkish-Made Bomb Dropped on Gaza,2025-04-18T14:37:44Z,2025-04-18T14:37:44Z,Gaza,misleading,,Photo shows a Turkey-made bomb that was dropped on Gaza.,,,,,
1,1,misbar.com,https://www.misbar.com/en/factcheck/2025/04/13/contrary-trolls-baby-sham-lost-her-arm-and-died-israeli-airstrike,"Contrary to Trolls, Baby Sham Lost Her Arm and Died in Israeli Airstrike",2025-04-13T05:39:22Z,2025-04-13T05:39:22Z,Gaza,fake,,"Baby Sham did not lose her arm in an Israeli airstrike on the Shejaeya neighborhood, east of Gaza City.",,,,,
2,2,ndtv.com,https://www.ndtv.com/world-news/did-taylor-swift-say-la-fires-are-payback-for-gaza-bombings-a-fact-check-7479334,Did Taylor Swift Say LA Fires Are Payback For Gaza Bombings? A Fact Check,2025-01-15T10:57:34Z,2025-01-15T10:57:34Z,Gaza,False,,Did Taylor Swift Say LA Fires Are Payback For Gaza Bombings? A Fact Check,,,,,
3,3,newsmobile.in,https://www.newsmobile.in/nm-fact-checker/fact-check-this-picture-of-dog-holding-a-childs-body-is-from-bangladesh-not-gaza/,"Fact Check: This Picture Of Dog Holding A Child’s Body Is From Bangladesh, NOT Gaza",2024-12-30T00:00:00Z,2024-12-31T00:00:00Z,Gaza,False,,picture of a dog holding an infant in his mouth is from Gaza,,,,,
4,4,misbar.com,https://www.misbar.com/en/factcheck/2024/12/30/this-footage-does-not-show-and-aerial-footage-of-gaza-but-zamalka-in-syria,This Footage Does Not Show Aerial Footage of Gaza But Zamalka ...,2024-12-30T10:26:01Z,2024-12-30T10:26:01Z,Gaza,misleading,,"This is Gaza, completely destroyed. It looks like hell on earth.",,,,,
5,5,factcheck.org,https://www.factcheck.org/2024/11/viral-claim-falsely-suggests-trump-ended-violence-in-gaza/,Viral Claim Falsely Suggests Trump Ended Violence in Gaza,2024-11-06T00:00:00Z,,Gaza,Distorts the Facts,,"Donald Trump's election led Hamas to call ""for 'Immediate' End to War.""",,,,,
6,6,checkyourfact.com,https://checkyourfact.com/2024/11/01/fact-check-does-viral-tweet-show-recent-hamas-attack-on-israeli-tank-unit/,FACT CHECK: Does Viral Tweet Show Recent Hamas Attack on Israeli Tank Unit?,2024-10-25T00:00:00Z,2024-11-01T13:23:41Z,Gaza,False,,"A viral tweet claims that Hamas fighters successfully ambushed an Israeli tank unit near Jabalia camp in northern Gaza, destroying multiple vehicles and injuring or killing their crews.",,,,,
7,7,factly.in,https://factly.in/old-photo-from-yemen-is-being-falsely-shared-as-the-death-of-a-man-in-gaza-following-an-israeli-attack/,Old photo from Yemen is being falsely shared as the death of a man in Gaza following an Israeli attack,2024-10-22T00:00:00Z,2024-10-24T00:00:00Z,Gaza,FALSE,,The photo of a dead man surrounded by dogs is from Gaza and killed by Israel.,,,,,
8,8,newsmobile.in,https://www.newsmobile.in/nm-fact-checker/fact-check-this-image-claiming-to-show-journalist-from-gaza-is-ai-generated/,Fact Check: Viral Image Claiming To Show Body Of A Journalist From Gaza Is Not Real But AI-generated,2024-10-14T00:00:00Z,2024-10-16T00:00:00Z,Gaza,Misleading,,Image shows a journalist's body in Gaza,,,,,
9,9,logicallyfacts.com,https://www.logicallyfacts.com/en/fact-check/old-photos-gaza-linked-to-israeli-attack-in-lebanon,Old photos from Gaza falsely linked to Israeli attack on Lebanon,2024-10-21T00:00:00Z,2024-10-22T00:00:00Z,Gaza,Misleading,,Social media posts claiming to show recent Israeli attack on Lebanon.,,,,,
10,10,misbar.com,https://www.misbar.com/en/factcheck/2024/07/15/photo-of-a-woman-from-south-lebanon-shared-in-relation-to-gaza,Photo of A Woman From South Lebanon Shared in Relation To Gaza,2024-07-15T21:02:14Z,2024-07-15T21:02:14Z,Gaza,misleading,,Mercava Pride Zionist Industry Laundry clothesline in Gaza.,,,,,
11,11,voanews.com,https://www.voanews.com/a/fact-check-in-china-and-iran-state-media-used-trump-assassination-attempt-to-accuse-west-of-neglecting-gaza-crisis/7700762.html,"In China and Iran, state media used Trump assassination attempt to ...",2024-07-16T19:57:53Z,2024-07-16T19:57:53Z,Gaza,Misleading,,“Shocking. EU leaders responded more swiftly and strongly to assassination attempt at Trump than they responded at all to the mass killings of Palestinians in Gaza.”,,,,,
12,12,ptinews.com,https://www.ptinews.com/fact-detail/pti-fact-check-no-israeli-embassy-did-not-issue-note-verbale-to-mea-alleging-sexual-assault-by-senior-indian-army-official-details-inside/2512610,"PTI Fact Check: No, Israeli Embassy did not issue note verbale to MEA alleging sexual assault by senior Indian Army official; details inside",2025-04-30T15:04:01Z,,Israel,False,,"No, Israeli Embassy did not issue note verbale to MEA alleging sexual assault by senior Indian Army official; details inside",,,,,
13,13,misbar.com,https://www.misbar.com/en/factcheck/2025/04/26/old-photo-wildfires-israel-resurfaces-amid-recent-fires,Old Photo of Wildfires in Israel Resurfaces Amid Recent Fires,2025-04-26T15:11:42Z,2025-04-26T15:11:42Z,Israel,misleading,,Breaking News: Fires broke out in several places across Israel due to the extreme heat that befell us.,,,,,
14,14,misbar.com,https://www.misbar.com/en/factcheck/2025/04/15/photos-show-recent-pro-palestine-protests-bangladesh-not-india,"Photos Show Recent Pro-Palestine Protests in Bangladesh, Not India",2025-04-15T07:19:56Z,2025-04-15T07:19:56Z,Israel,misleading,,"Thousands gathered at Sohrawardi Park in Kolkata, India, to show solidarity with the Palestinian people amid the ongoing Israeli assault on Gaza.",,,,,
15,15,misbar.com,https://www.misbar.com/en/factcheck/2025/04/13/erdogan%E2%80%99s-meeting-jewish-leaders-not-linked-recent-events,Erdogan’s Meeting With Jewish Leaders Not Linked To Recent Events,2025-04-13T08:58:57Z,2025-04-13T08:58:57Z,Israel,misleading,,Turkish President Recep Tayyip Erdoğan meeting with Jewish rabbis after the Israeli airstrikes in Syria.,,,,,
16,16,misbar.com,https://www.misbar.com/en/factcheck/2025/04/14/photo-mummified-children-bolivia-falsely-circulated-dead-children-gaza,Photo of Mummified Children in Bolivia Falsely Circulated as Dead Children in Gaza,2025-04-14T05:34:56Z,2025-04-14T05:34:56Z,Israel,misleading,,Two children were found two months later under the rubble of their home. No God bless Israel and its supporters.,,,,,
