Website,Article_URL,Headline,Claim_Date,Review_Date,Query/Keyword,Label_Website,Image_URL,Original_Claim_Only,Context/Label_Explanation,Text_Only_Claim,Normal_Image,AI_Generated_Image,Altered_Image
usatoday.com,https://www.usatoday.com/story/news/factcheck/2024/09/13/us-israel-other-countries-with-911-memorials-fact-check/75209435007/,More than a dozen countries have 9/11 memorials | Fact check,2024-09-11T00:00:00Z,2024-09-13T21:28:48Z,Israel,False,,Israel is the only country outside the US with a 9/11 memorial,,,,,
leadstories.com,https://leadstories.com/hoax-alert/2025/04/fact-check-eminem-israel-june-2025.html,Fact Check: Eminem Did NOT Announce a Concert in Israel for June 2025,2025-04-10T12:27:29Z,2025-04-10T12:27:29Z,Israel,Fake Poster,,The rapper Eminem announced in April 2025 that he would hold a concert in Israel in June.,,,,,
misbar.com,https://www.misbar.com/en/factcheck/2024/12/30/this-footage-does-not-show-and-aerial-footage-of-gaza-but-zamalka-in-syria,This Footage Does Not Show Aerial Footage of Gaza But Zamalka ...,2024-12-30T10:26:01Z,2024-12-30T10:26:01Z,Gaza,misleading,,"This is Gaza, completely destroyed. It looks like hell on earth.",,,,,
misbar.com,https://www.misbar.com/en/factcheck/2024/07/15/photo-of-a-woman-from-south-lebanon-shared-in-relation-to-gaza,Photo of A Woman From South Lebanon Shared in Relation To Gaza,2024-07-15T21:02:14Z,2024-07-15T21:02:14Z,Gaza,misleading,,Mercava Pride Zionist Industry Laundry clothesline in Gaza.,,,,,
misbar.com,https://www.misbar.com/en/factcheck/2025/01/27/photo-of-vegetables-shelved-on-a-tank-is-from-syria-not-gaza,"Photo of Vegetables Shelved on a Tank Is from Syria, Not Gaza",2025-01-27T15:59:58Z,2025-01-27T15:59:58Z,Israel,misleading,,"A vegetable stand in #Gaza with a Merkava tank, the pride of the Israeli army, as its decor.",,,,,
voanews.com,https://www.voanews.com/a/iran-propagates-israel-s-response-to-houthi-attacks-as-war-crimes-/7808750.html,Iran propagates Israel’s response to Houthi attacks as ‘war crimes’,2024-10-03T07:55:31Z,2024-10-03T07:55:31Z,Israel,Misleading,,“The Zionist regime’s move to attack Yemen and the country’s civilian and service infrastructure is a blatant and repeated violation of the United Nations Charter.”,,,,,
indiatoday.in,https://www.indiatoday.in/fact-check/story/fact-check-old-karate-contest-photo-shared-egyptians-raising-palestinian-flag-paris-olympics-2577123-2024-08-05,Fact Check: Old Karate contest photo shared as Palestine flag raised at Paris Olympics,2024-08-05T00:00:00Z,,Israel,False,,Egyptian karate players raised the Palestinian flag after defeating Israel in the ongoing Paris Olympics.,,,,,
factcheck.org,https://www.factcheck.org/2024/11/viral-claim-falsely-suggests-trump-ended-violence-in-gaza/,Viral Claim Falsely Suggests Trump Ended Violence in Gaza,2024-11-06T00:00:00Z,,Gaza,Distorts the Facts,,"Donald Trump's election led Hamas to call ""for 'Immediate' End to War.""",,,,,
misbar.com,https://www.misbar.com/en/factcheck/2024/07/24/old-photo-of-gaza-rocket-strike-on-israel-resurfaces-amid-yemen-israel-escalation,Old Photo of Gaza Rocket Strike on Israel Resurfaces Amid Yemen-Israel Escalation,2024-07-24T18:36:30Z,2024-07-24T18:36:30Z,Israel,misleading,,"A photo shows the aftermath of a Houthi attack on Tel Aviv, Israel.",,,,,
misbar.com,https://www.misbar.com/en/factcheck/2025/04/26/old-photo-wildfires-israel-resurfaces-amid-recent-fires,Old Photo of Wildfires in Israel Resurfaces Amid Recent Fires,2025-04-26T15:11:42Z,2025-04-26T15:11:42Z,Israel,misleading,,Breaking News: Fires broke out in several places across Israel due to the extreme heat that befell us.,,,,,
misbar.com,https://www.misbar.com/en/factcheck/2025/02/10/israel%E2%80%99s-channel-14-was-not-hacked-egyptian-hacker,Israel’s Channel 14 Was Not Hacked by an Egyptian Hacker,2025-02-10T13:03:56Z,2025-02-10T13:03:56Z,Israel,fake,,Israeli channel was hacked by an Egyptian hacker.,,,,,
logicallyfacts.com,https://www.logicallyfacts.com/en/fact-check/false-no-photo-doesn-t-show-gaza-man-holding-hand-of-son-killed-in-israeli-bombing,"No, photo doesn’t show Gaza man holding hand of son killed in Israeli bombing",2024-07-14T00:00:00Z,2024-07-16T00:00:00Z,Israel,False,,This photo shows a man from Gaza holding the hand of his son killed in an Israeli bombing.,,,,,
politifact.com,https://www.politifact.com/article/2024/sep/11/2024-presidential-debate-fact-check-harris-trump/,Fact-checking Harris and Trump’s first presidential debate,2024-09-10T00:00:00Z,2024-09-11T14:37:20Z,Israel,Half True,,"Kamala Harris ""wouldn't even meet with (Israeli Prime Minister Benjamin) Netanyahu when he went to Congress to make a very important speech. She refused to be there 'cause she was at a sorority party of hers.""",,,,,
misbar.com,https://www.misbar.com/en/factcheck/2025/04/18/image-does-not-show-debris-turkish-made-bomb-dropped-gaza,Image Does Not Show Debris of Turkish-Made Bomb Dropped on Gaza,2025-04-18T14:37:44Z,2025-04-18T14:37:44Z,Gaza,misleading,,Photo shows a Turkey-made bomb that was dropped on Gaza.,,,,,
misbar.com,https://www.misbar.com/en/factcheck/2024/08/08/israeli-channel-12-news-did-not-conduct-a-poll-on-allowing-soldiers-to-rape-prisoners,Israeli Channel 12 News Did Not Conduct a Poll on Allowing Soldiers to Rape Prisoners,2024-08-08T13:08:31Z,2024-08-08T13:08:31Z,Israel,fake,,Israel's Channel 12 asked a question in an Israeli public opinion poll: Do you agree with the claim that a soldier is allowed to rape a prisoner with his hands tied?,,,,,
checkyourfact.com,https://checkyourfact.com/2024/08/07/fact-check-no-photo-does-not-show-building-where-hamas-chief-was-assassinated/,"FACT CHECK: No, Photo Does Not Show Building Where Hamas Chief Was Assassinated",2024-07-31T00:00:00Z,2024-08-07T14:37:14Z,Israel,False,,A photo shared on Facebook claims to show a damaged building where Hamas Chief Ismail Haniyeh was assassinated by an Israeli strike.,,,,,
misbar.com,https://www.misbar.com/en/factcheck/2024/08/26/this-image-does-not-show-bezalel-smotrich-taking-shelter-following-the-recent-hezbollah-attack,This Image Does Not Show Bezalel Smotrich Taking Shelter Following the Recent Hezbollah Attack,2024-08-26T08:18:31Z,2024-08-26T08:18:31Z,Israel,misleading,,"Israeli Finance Minister Smotrich, who previously threatened to invade Lebanon, was found today taking shelter in Israeli bomb shelter.",,,,,
factly.in,https://factly.in/old-photo-from-yemen-is-being-falsely-shared-as-the-death-of-a-man-in-gaza-following-an-israeli-attack/,Old photo from Yemen is being falsely shared as the death of a man in Gaza following an Israeli attack,2024-10-22T00:00:00Z,2024-10-24T00:00:00Z,Gaza,FALSE,,The photo of a dead man surrounded by dogs is from Gaza and killed by Israel.,,,,,
indiatvnews.com,https://www.indiatvnews.com/fact-check/fact-check-did-hezbollah-chief-nasrallah-break-down-after-israel-airstrikes-on-lebanon-know-truth-misleading-claim-latest-updates-2024-09-28-954429,Fact Check: Did Hezbollah chief Nasrallah break down after Israel's ...,2024-09-28T00:00:00Z,,Israel,Misleading,,Fact Check: Did Hezbollah chief Nasrallah break down after Israel's airstrikes on Lebanon? Know truth,,,,,
newsmeter.in,https://newsmeter.in/fact-check/israeli-tanks-spotted-outside-damascus-no-image-is-from-gaza-in-2023-740432,"Fact Check: Israeli tanks spotted outside Damascus? No, image is ...",2024-12-11T05:16:17Z,2024-12-11T05:16:17Z,Israel,False,,The image shows the Israeli army reaching Damascus in Syria.,,,,,
factchecker.gr,https://www.factchecker.gr/2024/10/10/did-israeli-warplanes-deliberately-bomb-the-french-totalenergies-facilities-in-beirut/,Has Israel deliberately targeted French multinational company ...,2024-10-06T00:00:00Z,2024-10-10T00:00:00Z,Israel,DISINFORMATION,,Israel has targeted *FRENCH* Multinational Company TotalEnergies gas station in Beirut. This comes after Emmanuel Macron BANNED military aid to Israel.,,,,,
leadstories.com,https://leadstories.com/hoax-alert/2025/03/fact-check-mentions-of-israel-were-not-the-only-thing-cia-requested-to-be-redacted-in-jfk-files.html,Fact Check: Mentions of Israel Were NOT 'The Only Thing' CIA Has Requested To Be Redacted In JFK Files,2025-03-19T17:24:41Z,2025-03-19T17:24:41Z,Israel,More Items,,Only mentions of Israel were marked by the CIA for redaction in JFK files,,,,,
misbar.com,https://www.misbar.com/en/factcheck/2024/09/16/old-photo-shows-execution-of-individual-accused-of-collaborating-with-israel-in-tulkarm-not-gazarsquos-al-nuseirat,"Old Photo Shows Execution of Individual Accused of Collaborating with Israel in Tulkarm, Not Gaza’s Al-Nuseirat",2024-09-16T14:53:54Z,2024-09-16T14:53:54Z,Israel,misleading,,"According to local sources, a spy for the Israelis was executed by firing squad in Al-Nuseirat camp in central Gaza Strip.",,,,,
misbar.com,https://www.misbar.com/en/factcheck/2024/10/29/old-scenes-recirculate-allegedly-showing-a-drone-strike-on-israeli-soldiers-dining-at-a-military-base,"Old Scenes Recirculate, Allegedly Showing a Drone Strike on Israeli Soldiers Dining at a Military Base",2024-10-29T21:09:08Z,2024-10-29T21:09:08Z,Israel,misleading,,A drone strikes dining israeli soldiers/,,,,,
thequint.com,https://www.thequint.com/news/webqoof/old-image-from-kochi-shared-as-massive-protest-against-israel-fact-check,"Fact-Check: Does This Image Show A Massive Protest Against Israel in Kerala? No, Claim is False!",2024-09-05T07:17:02Z,2024-09-05T07:17:02Z,Israel,False,,"Image shows a huge protest against Israel in Kochi, Kerala.",,,,,
ndtv.com,https://www.ndtv.com/world-news/were-israeli-tanks-spotted-outside-damascus-a-fact-check-7224391,Were Israeli Tanks Spotted Outside Damascus? A Fact Check,2024-12-11T11:57:09Z,2024-12-11T11:57:09Z,Israel,False,,Were Israeli Tanks Spotted Outside Damascus? A Fact Check,,,,,
misbar.com,https://www.misbar.com/en/factcheck/2025/04/15/photos-show-recent-pro-palestine-protests-bangladesh-not-india,"Photos Show Recent Pro-Palestine Protests in Bangladesh, Not India",2025-04-15T07:19:56Z,2025-04-15T07:19:56Z,Israel,misleading,,"Thousands gathered at Sohrawardi Park in Kolkata, India, to show solidarity with the Palestinian people amid the ongoing Israeli assault on Gaza.",,,,,
misbar.com,https://www.misbar.com/en/factcheck/2024/07/23/old-photo-of-crowded-ben-gurion-airport-resurfaces-after-houthis-drone-attack-on-israel,Old Photo of Crowded Ben Gurion Airport Resurfaces After Houthis' Drone Attack on Israel,2024-07-23T15:23:43Z,2024-07-23T15:23:43Z,Israel,misleading,,A photo shows Israelis fleeing the airport after the Houthis attack.,,,,,
