id,Website,Article_URL,Headline,Claim_Date,Review_Date,Query/Keyword,Label_Website,Image_URL,Original_Claim_Only,Context/Label_Explanation,Text_Only_Claim,Normal_Image,AI_Generated_Image,Altered_Image
34,factly.in,https://factly.in/an-image-of-15-year-old-diaa-al-adini-injured-in-an-august-2024-israeli-strike-is-being-falsely-shared-as-a-hamas-militant/,"Photo of 15-year-old Diaa Al-Adini, injured in an August 2024 Israeli ...",2024-11-10T00:00:00Z,2024-11-11T00:00:00Z,Israel,FALSE,,"Photo Mohammad Mahroof, a Hamas militant from Gaza, accused of killing Israeli children in 2023. In 2024, Israel caught and disarmed him and left him alive.",,,,,
23,misbar.com,https://www.misbar.com/en/factcheck/2025/03/01/image-2021-israeli-airstrike-gaza-shared-recent-israeli-bombing-syria,Image of 2021 Israeli Airstrike on Gaza Shared as Recent Israeli Bombing in Syria,2025-03-01T11:41:50Z,2025-03-01T11:41:50Z,Israel,misleading,,"NOW: Israel is violently bombing the surroundings of Southern Damascus, destroying its last remaining army depots.",,,,,
41,youturn.in,https://youturn.in/factcheck/israel-military-soldier-death-falsely-linked-with-hezbolla.html,Youturn | fact check,2024-10-04T00:00:00Z,2024-10-08T00:00:00Z,Israel,false,,"போரில் உயிர் நீத்த இஸ்ரேல் நாட்டு இராணுவ வீரர்கள் உடல் அடக்கம் செய்யப்பட்டது. ""வினை விதைத்தால் அதை அறுவடை செய்தே ஆகவேண்டும்""",,,,,
57,newsmobile.in,https://www.newsmobile.in/nm-fact-checker/fact-check-image-of-aircraft-carrier-falsely-claim-to-show-us-support-for-israel-in-red-sea/,Fact Check: Image of Aircraft Carrier Falsely Claim To Show US’ Support For Israel In Red Sea,2024-08-06T00:00:00Z,2024-08-12T00:00:00Z,Israel,Misleading,,U.S. aircraft carrier in the Red Sea to support Israel amidst tensions with Hezbollah,,,,,
15,misbar.com,https://www.misbar.com/en/factcheck/2025/04/13/erdogan%E2%80%99s-meeting-jewish-leaders-not-linked-recent-events,Erdogan’s Meeting With Jewish Leaders Not Linked To Recent Events,2025-04-13T08:58:57Z,2025-04-13T08:58:57Z,Israel,misleading,,Turkish President Recep Tayyip Erdoğan meeting with Jewish rabbis after the Israeli airstrikes in Syria.,,,,,
12,ptinews.com,https://www.ptinews.com/fact-detail/pti-fact-check-no-israeli-embassy-did-not-issue-note-verbale-to-mea-alleging-sexual-assault-by-senior-indian-army-official-details-inside/2512610,"PTI Fact Check: No, Israeli Embassy did not issue note verbale to MEA alleging sexual assault by senior Indian Army official; details inside",2025-04-30T15:04:01Z,,Israel,False,,"No, Israeli Embassy did not issue note verbale to MEA alleging sexual assault by senior Indian Army official; details inside",,,,,
66,usatoday.com,https://www.usatoday.com/story/news/factcheck/2024/07/30/algerian-disqualified-from-olympic-match-israel-fact-check/74589378007/,"Algerian disqualified from Olympic match, didn't withdraw | Fact check",2024-07-28T00:00:00Z,2024-07-30T16:25:24Z,Israel,False,,Algerian athlete withdrew from Olympics before match against Israeli opponent,,,,,
18,misbar.com,https://www.misbar.com/en/factcheck/2025/04/03/iranian-general-esmail-qaani-did-not-flee-israel,Iranian General Esmail Qaani Did Not Flee to Israel,2025-04-03T00:11:14Z,2025-04-03T00:11:14Z,Israel,fake,,Breaking: Iran's IRGC Quds Force commander Gen. Esmail Qaani is confirmed safe in Israel.,,,,,
36,newsmeter.in,https://newsmeter.in/fact-check/no-yair-netanyahu-was-not-assassinated-in-drone-attack-on-israeli-pms-home-737767,"Fact Check: No, Yair Netanyahu was not assassinated in drone attack on Israeli PM’s home",2024-10-21T12:08:42Z,2024-10-21T12:08:42Z,Israel,False,,"Netanyahu’s son Yair was killed in a drone attack that targeted the Israeli PM’s home in Caesarea, Israel.",,,,,
70,misbar.com,https://www.misbar.com/en/factcheck/2024/07/20/2018-photo-of-suffocated-girls-from-syria-resurfaces-in-relation-to-gaza-war,2018 Photo of Suffocated Girls from Syria Resurfaces in Relation to Gaza War,2024-07-20T18:55:05Z,2024-07-20T18:55:05Z,Israel,misleading,,"This photo was taken in Gaza. She was holding her sister's oxygen mask inside the ambulance. She had already passed away, yet her hand remained on the mask firmly. Look what did Israel America Taxpayer with them.",,,,,
19,misbar.com,https://www.misbar.com/en/factcheck/2025/03/19/outdated-photo-shows-aftermath-israeli-airstrike-lebanon-not-gaza,"Outdated Photo Shows Aftermath of Israeli Airstrike on Lebanon, Not Gaza",2025-03-19T13:06:59Z,2025-03-19T13:06:59Z,Israel,misleading,,At least four Palestinians were killed in a heavy Israeli bombardment on Deir al-Balah in the southern Gaza Strip.,,,,,
60,logicallyfacts.com,https://www.logicallyfacts.com/en/fact-check/false-unrelated-image-shared-as-u-s-warships-heading-to-lebanon-to-support-idf,Unrelated image shared as U.S. warships heading to Lebanon to 'support IDF',2024-08-02T00:00:00Z,2024-08-07T00:00:00Z,Israel,False,,U.S. warships are en route to the Lebanon coast to support Israel Defense Forces (IDF),,,,,
24,misbar.com,https://www.misbar.com/en/factcheck/2025/02/27/photo-not-related-israeli-forces%E2%80%99-recent-incursion-southern-syria,This Photo Is Not Related To Israeli Forces’ Recent Incursion Into Southern Syria,2025-02-27T11:57:46Z,2025-02-27T11:57:46Z,Israel,misleading,,"Israeli occupation forces enter the town of Tasil in the countryside of Daraa on foot. While in the Muhajireen area in Homs, Al-Jolani elements arrest dozens of young men.",,,,,
16,misbar.com,https://www.misbar.com/en/factcheck/2025/04/14/photo-mummified-children-bolivia-falsely-circulated-dead-children-gaza,Photo of Mummified Children in Bolivia Falsely Circulated as Dead Children in Gaza,2025-04-14T05:34:56Z,2025-04-14T05:34:56Z,Israel,misleading,,Two children were found two months later under the rubble of their home. No God bless Israel and its supporters.,,,,,
22,misbar.com,https://www.misbar.com/en/factcheck/2025/03/04/erdogan-did-not-urge-us-control-israel-over-syria-conflict,Erdogan Did Not Urge U.S. To Control Israel Over Syria Conflict,2025-03-04T12:40:20Z,2025-03-04T12:40:20Z,Israel,fake,,"A statement attributed to Turkey's President Erdogan, allegedly warning Israel",,,,,
11,voanews.com,https://www.voanews.com/a/fact-check-in-china-and-iran-state-media-used-trump-assassination-attempt-to-accuse-west-of-neglecting-gaza-crisis/7700762.html,"In China and Iran, state media used Trump assassination attempt to ...",2024-07-16T19:57:53Z,2024-07-16T19:57:53Z,Gaza,Misleading,,“Shocking. EU leaders responded more swiftly and strongly to assassination attempt at Trump than they responded at all to the mass killings of Palestinians in Gaza.”,,,,,
68,misbar.com,https://www.misbar.com/en/factcheck/2024/07/23/this-image-of-a-child-under-the-rubble-is-not-from-gaza,This Image of a Child Under the Rubble Is Not from Gaza,2024-07-23T16:26:57Z,2024-07-23T16:26:57Z,Israel,misleading,,PALESTINIAN CHILD STUCK UNDER THE RUBBLE AFTER ISRAELI AIRSTRIKE,,,,,
53,misbar.com,https://www.misbar.com/en/factcheck/2024/09/19/photo-of-barcelona-president-with-israeli-representatives-predates-gaza-war,Photo of Barcelona President with Israeli Representatives Predates ...,2024-09-19T11:08:13Z,2024-09-19T11:08:13Z,Israel,misleading,,FC Barcelona stands with Jewish terrorists and murder of civilians.,,,,,
73,usatoday.com,https://www.usatoday.com/story/news/factcheck/2024/07/12/us-draft-israel-hamas-war-fact-check/74359207007/,False claim Americans drafted for Israel-Hamas war | Fact check,2024-07-09T00:00:00Z,2024-07-12T21:24:27Z,Israel,False,,US reinstituted draft for Israel-Hamas war,,,,,
54,logicallyfacts.com,https://www.logicallyfacts.com/en/fact-check/false-no-this-photo-of-netanyahu-s-home-was-not-taken-by-a-hezbollah-drone,"No, this photo of Netanyahu's home was not taken by a Hezbollah drone",2024-08-18T00:00:00Z,2024-08-21T00:00:00Z,Israel,False,,Social media users sharing a photo of Israeli PM Benjamin Netanyahu's house claiming that the photo was taken by Hezbollah,,,,,
39,logicallyfacts.com,https://www.logicallyfacts.com/en/fact-check/fake-quote-about-israel-attributed-to-actor-mel-gibson,Fake quote about Israel attributed to Mel Gibson,2024-10-07T00:00:00Z,2024-10-09T00:00:00Z,Israel,Fake,,Mel Gibson shared a social media post stating Israel will end soon,,,,,
46,en.youturn.in,https://en.youturn.in/factcheck/The-video-showingexplosion-in-oil-refinery-is-from-Russia-Ukraine-war.html,Russia-Ukraine drone attack is falsely shared as from the re...,2024-09-23T00:00:00Z,2024-09-25T00:00:00Z,Israel,false,,“Israeli” media: Hezbollah drone reaches oil refineries in the north of occupied Palestine,,,,,
61,misbar.com,https://www.misbar.com/en/factcheck/2024/08/06/hezbollah-did-not-capture-an-image-of-netanyahu-inside-his-office,Hezbollah Did Not Capture an Image of Netanyahu Inside His Office,2024-08-06T08:40:14Z,2024-08-06T08:40:14Z,Israel,fake,,Lebanese Hezbollah captures and publishes a photo of the Israeli Prime Minister inside his office with a message: Do not test our capabilities. We intend to keep you in a state of anxiety!,,,,,
25,misbar.com,https://www.misbar.com/en/factcheck/2025/02/22/hamas-did-not-hand-over-coffins-incorrect-keys,Hamas Did Not Hand Over Coffins with Incorrect Keys,2025-02-22T13:04:57Z,2025-02-22T13:04:57Z,Israel,misleading,,Hamas returned the hostages bodies to Israel in locked coffins with keys that do not open them.,,,,,
2,ndtv.com,https://www.ndtv.com/world-news/did-taylor-swift-say-la-fires-are-payback-for-gaza-bombings-a-fact-check-7479334,Did Taylor Swift Say LA Fires Are Payback For Gaza Bombings? A Fact Check,2025-01-15T10:57:34Z,2025-01-15T10:57:34Z,Gaza,False,,Did Taylor Swift Say LA Fires Are Payback For Gaza Bombings? A Fact Check,,,,,
