Website;Article_URL;Headline;Month/Year;Category/Query;Label_Website;Image_URL;Claim;Corrected_Claim/Context/Explanation_Website;Text_Only_Claim?;Normal_Image?;AI_Generated_Image?;Altered_Image?
AFP Factcheck;https://factcheck.afp.com/doc.afp.com.37W26WD;Image of 'Gazan mother with son's bones' is made with AI;03/25;Israeli-Palestinian conflict;FALSE;https://scontent-ham3-1.xx.fbcdn.net/v/t39.30808-6/486290815_1290888865331200_3774810229142652666_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=vBEZcjDVD7oQ7kNvwHws-5Y&_nc_oc=Adky2mtxXDSjPR4WOkq7SA87WWmZRsarhlIYxqXH1sCPsmvAiTzalRRt3GipgGw2Xps&_nc_zt=23&_nc_ht=scontent-ham3-1.xx&_nc_gid=Q-q5rvFO6zIEt047eLjakQ&oh=00_AfHMixiw6SjZDzZZMpJO-thYRewWl0wKA8Wlv7wd5YgCvQ&oe=67FDCCEA;"""A mother holds the bones of her son in Gaza. After more than a year and a half of searching for him under the rubble of their bombed-out house,"" reads a Malay-language https://mvau.lt/media/45e5e653-be24-4ecf-ace9-e6d6432a34d3 shared on March 24.";But an image circulating worldwide on social media as a genuine depiction of a Palestinian mother cradling her son's remains is AI-generated;No;No;Yes;No
AFP Factcheck;https://factcheck.afp.com/doc.afp.com.36XY2FV;Old image misrepresented as 'Israeli settlers' in northern Thailand after Gaza ceasefire;02/25;Israeli-Palestinian conflict;FALSE;https://pbs.twimg.com/media/Gj5tbXiaQAAoG1z?format=jpg&name=small;"""Israeli media reports there are Jews who have stopped fighting the wars in Gaza, Palestine, and Lebanon. They moved to become 'settlers' in Pai District, Mae Hong Son Province, Thailand,"" reads part of an https://perma.cc/Y5PH-LDFL published February 16, 2025";"A https://youtu.be/linGPlWGcDw?si=ir8GlgXmFpx95yyD via Google traced the viral photo to a https://maehongson.immigration.go.th/%E0%B8%95%E0%B8%A1-%E0%B8%88%E0%B8%A7-%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%AE%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%AD%E0%B8%99-%E0%B8%9A%E0%B8%B9%E0%B8%A3%E0%B8%93%E0%B8%B2%E0%B8%81%E0%B8%B2-2/published October 2, 2024 by the Mae Hong Son Immigration Office (https://perma.cc/2BKC-TVL5).
The photo was taken during an inspection at an event celebrating Rosh Hashanah, the Jewish New Year, at a synagogue in Pai.";No;Yes;No;No
AFP Factcheck;https://factcheck.afp.com/doc.afp.com.36RF6BZ;Picture shows Israel's 2018 Gaza attack, not aftermath of US strike in Yemen;12/24;Israeli-Palestinian conflict;FALSE;https://media.gettyimages.com/id/1060718622/de/foto/gaza-city-gaza-smoke-and-flames-blow-up-above-the-hamas-run-al-aqsa-tv-during-israeli.jpg?s=2048x2048&w=gi&k=20&c=fjfyiuoJ3uX2rjXeyi_YnGMkmX1-vTQUINfDoxnQzoI=;"""Americans bombarded Yemen in reprisal after Yemen launched an attack on Israel's capital,"" read a Thai-language https://perma.cc/6QNC-5ATU on December 22, 2024.";But a nighttime picture of a massive fire repeatedly shared on social media does not show the US strike. It shows an Israeli airstrike in Gaza in November 2018.;No;Yes;No;No
AFP Factcheck;https://factcheck.afp.com/doc.afp.com.36NF2UW;Photo shows Israeli helicopter firing flares over Gaza, not 'shot down in Lebanon';12/24;Israeli-Palestinian conflict;FALSE;https://t1.blockdit.com/photos/2024/11/67417966c5d700bda4e839f6.jpg;"""Lebanon shot down its enemy's helicopter,"" read a Thai-language https://web.archive.org/web/20241201055745/https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Fpermalink.php%3Fstory_fbid%3D592801986655652%26id%3D100077775671454&show_text=true&width=500 shared on November 24, 2024.";"The photo in fact shows a helicopter releasing flares over Gaza and was taken by an AFP photographer in March 2019.

A reverse image search on Google led to the same photo used in a report published by https://www.timesofisrael.com/hamas-tried-to-down-an-idf-helicopter-during-fighting-this-month-report/ newspaper on May 20, 2019 (https://web.archive.org/web/20190526051559/https://www.timesofisrael.com/hamas-tried-to-down-an-idf-helicopter-during-fighting-this-month-report/).
The photo is credited to AFP photographer Mohammed Abed, and its caption read: ""An Israeli helicopter shoots flares over the Gaza Strip hours after a rocket from the Palestinian enclave hit a house near Tel Aviv and wounded seven people, leading to fears of a severe escalation, on March 25, 2019.""";No;Yes;No;No
AFP Factcheck;https://factcheck.afp.com/doc.afp.com.36MV6KT;AI-generated image used to falsely claim Netanyahu hospitalized;11/24;Israeli-Palestinian conflict;FALSE;https://scontent-ham3-1.xx.fbcdn.net/v/t39.30808-6/467574066_10159703629306377_2271087948666621641_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=833d8c&_nc_ohc=EKIDhjEsEEUQ7kNvwEl-yI4&_nc_oc=AdmkMdVD7SUqU8ar-Yh1R4y4Tfzxchfeov1s5YDmElIweGHTUQ6n8UIwbi6audtrUAs&_nc_zt=23&_nc_ht=scontent-ham3-1.xx&_nc_gid=uV3U1F-QsPIfxJcg1--u8Q&oh=00_AfH_svIgs686rQYJRYatm0eWNSYKwT3hBUuKqVxkHljGXg&oe=67FDCE72;"""BREAKING NETANYAHU HOSPITALISED He suffered serious health issue in Kiryah and has been shifted to a hospital in Tel Aviv,"" says a November 17 https://perma.cc/J5EH-PLPB from Sulaiman Ahmed, a creator who has https://factcheck.afp.com/doc.afp.com.34JA9UM about Israel's war with Hamas.";"However, November 2024 social media posts claiming he was hospitalized with a ""serious health issue"" are false; the Israeli leader gave a speech to lawmakers when he was supposedly admitted, and experts told AFP the image shared online is likely AI-generated.";No;No;Yes;No
AFP Factcheck;https://factcheck.afp.com/doc.afp.com.36MT424;Posts falsely claim Huthis declared ceasefire after Trump victory;11/24;Israeli-Palestinian conflict;FALSE;;"""Huthi spokesman: Our operations in international waters were defensive only and we announce their final cessation,"" says a November 6, 2024 https://perma.cc/Y4JU-VKA6?type=image in Arabic.";"The militant group has said it will not halt its military operations, which come in response to Israel's bombardment of the Gaza Strip.

Huthi rebels have maintained their attacks in international waters since Trump won the 2024 US presidential election -- and the group's leader has confirmed the outcome will not change its military strategy.";Yes;No;No;No
AFP Factcheck;https://factcheck.afp.com/doc.afp.com.36L649D;Lebanon explosion falsely shared online as Israeli airstrikes in Iran;11/24;Israeli-Palestinian conflict;FALSE;https://resource.nationtv.tv/uploads/images/md/2024/10/NdXQgp0xHaLgoxhqfB8R.webp?x-image-process=style/lg-webp, https://scontent-ham3-1.xx.fbcdn.net/v/t39.30808-6/486608790_1214981513520674_1044718029888522551_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=833d8c&_nc_ohc=9ShcFrx-v6IQ7kNvwGk7dpK&_nc_oc=AdnXXQ3lJgLoRjavn60b5_B4v--TBeu8F_j8lm0wF7dF4JgRCvKap7DNXRw56mt6Aig&_nc_zt=23&_nc_ht=scontent-ham3-1.xx&_nc_gid=teYYEus1SzyDWsInQySsqw&oh=00_AfGH7wvggrGmYXJZeFE1F6A5uG8hjbItr3juNkGBuALphQ&oe=67FDDBFC;"""Iranian military targets attacked,"" read the Thai-language caption alongside a photo of a huge explosion on https://perma.cc/Y6FJ-TUEK on October 26, 2024. ""Israel launched several waves of revengeful attacks on Iran since this morning. Meanwhile, there were loud explosions in Syria too...""";"In reality, the image shows a different Israeli bombardment in Lebanon

On the night of October 6, the Israeli Defense Forces (IDF) https://x.com/AvichayAdraee/status/1843004528263672191 that specified their targets in Beirut’s southern suburb (https://perma.cc/MD4U-QS44).
Citing official Lebanese media, AFP https://www.al-monitor.com/originals/2024/10/fresh-israeli-strikes-hit-south-beirut that four Israeli strikes struck south Beirut on October 6, shortly after calls by Israel's army for residents to evacuate the Hezbollah stronghold which has been bombarded for several days (https://perma.cc/TZ3S-TDZE).
https://www.youtube.com/watch?v=NcdZFt59vVE on Israel's October 6 strike on Beirut, showing a different scene of the attack (https://perma.cc/4PTU-9YA5).";No;Yes;No;No
AFP Factcheck;https://factcheck.afp.com/doc.afp.com.36L348E;Photos show blaze at Iranian refinery in 2021, not impact of Israeli airstrikes;10/24;Israeli-Palestinian conflict;FALSE;https://www.xinghuozhiku.com/wp-content/uploads/2024/10/xinghuozhiku0-1729930019.jpeg;"""In the early hours of October 26, when the Middle East was still dark, Israel launched an unprecedented missile attack on Iran,"" read the text of a simplified Chinese https://perma.cc/RF39-RBJN?type=image published on WeChat.


A similar photo was shared in another simplified Chinese https://perma.cc/4VWQ-ULBL, which said Iran's power plants had been targeted by the Israeli air strikes.";"The blaze, however, occurred in June 2021 and Iranian officials said at the time it was caused by a leak in the refinery's liquefied gas line.

Both photos are available in AFP's archives, and their captions state the images show a blaze that broke out at a refinery in southern Tehran.The fire started after a leak from an emergency liquified gas line triggered an https://www.macaubusiness.com/large-blaze-at-refinery-in-iranian-capital-official/, the head of Tehran's crisis team told state television (https://perma.cc/9RP7-RKQQ).";No;Yes;No;No
AFP Factcheck;https://factcheck.afp.com/doc.afp.com.36KL83M;AI-generated images falsely claimed to show bombing near Beirut airport;10/24;Israeli-Palestinian conflict;FALSE;https://scontent-ham3-1.xx.fbcdn.net/v/t39.30808-6/487791633_1112577197570829_5810639440179938996_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=833d8c&_nc_ohc=sbwD9D17xb8Q7kNvwF6N0GU&_nc_oc=AdmZ4OBjb7-82WWLz2ciakpz3sdiDPnGokuYMxu-g9toOijdH8GRP6xyy-Fmv7XVPlg&_nc_zt=23&_nc_ht=scontent-ham3-1.xx&_nc_gid=NSlOnP5loBpa4KZjQkE_7Q&oh=00_AfFxUH5bmmoEGo3YtPEpgKhqJEa7zKEhqtHQu-Y2wUC35A&oe=67FDCD3B;"""A PHOTO FOR THE HISTORY BOOKS MEA airline landing in Beirut International Airport as Israeli rains fire on the airport,"" says an October 20 https://perma.cc/YM6D-EN2Y from Sulaiman Ahmed";"A spokesperson for Middle East Airlines told AFP in an October 21 email that the images appear to be AI-generated and are ""far from reality.""
A https://www.youtube.com/watch?v=pVAKQqO2BE4 of public social media pages reveals the first handful of Instagram https://www.instagram.com/p/DBXH90EoCgp/?img_index=1that https://www.instagram.com/p/DBXHuXLs9Nm/ the pictures. They say the pictures were created using artificial intelligence and credit the profile south.to.north (archived https://perma.cc/56PR-SAL7 and https://perma.cc/6F9T-AWGR).
The two AI-generated images no longer appear on the original user's page, but it does feature similar-looking https://www.instagram.com/p/DBW7c34sw3t/?img_index=1 uploaded around the same time (archived https://perma.cc/BF86-2738).";No;No;Yes;No
AFP Factcheck;https://factcheck.afp.com/doc.afp.com.36K38U9;Hezbollah strike did not kill IDF chief Herzi Halevi;10/24;Israeli-Palestinian conflict;FALSE;;"""BREAKING Initial reports confirm the assassination of Israeli Army Chief of Staff, Herzi Halevi,"" says an October 13, 2024 https://perma.cc/6CMT-ACCW from Anastasia Maria Loupis, a Danish physician https://www.france24.com/en/live-news/20240214-musk-s-x-feeds-monetization-of-wartime-misinformationpreviously https://factcheck.afp.com/doc.afp.com.34LJ9ZK about the Israel-Hamas war.";"However, claims on social media that the chief of the Israeli Defense Forces (IDF) was killed in an October 13, 2024 attack on a military base are false; Herzi Halevi visited the base after the drone strike.";Yes;No;No;No
