,id,Website,Article_URL,Headline,Claim_Date,Review_Date,Query/Keyword,Label_Website,Image_URL,Original_Claim_Website,Original_Claim_Only,Context/Label_Explanation,Text_Only_Claim,Normal_Image,AI_Generated_Image,Altered_Image,Data_Collection_Type
0,0,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.42JE3T2,False claims about US general being killed in Gaza spread online,2025-04-06 00:00:00,2025-04-17 00:00:00,Israeli-Palestinian conflict,false,https://pbs.twimg.com/media/Gn4wjgBXoAALax1?format=jpg&name=medium,"""BREAKING: Reports confirm the death of General John Pagri, Commander of the Special Tasks Battalion in the U.S. Army, in the Gaza Strip,"" says an April 6, 2025 X post with more than 30,000 likes.","""BREAKING: Reports confirm the death of General John Pagri, Commander of the Special Tasks Battalion in the U.S. Army, in the Gaza Strip.""","A reverse image search reveals the photograph was uploaded to Wikimedia Commons, a website that collects free-use images, with a description that says that it was taken in 2007 in Iraq's Babil province (archived here). Wikimedia Commons credits a blog post from the US National Guard as the source of the image. While the site has since been deleted, an archived version available via the Internet Archive says that the men in the image are two sergeants named Robbie Doman and Christopher W. Sullenberger. Doman, standing in the middle of the photograph, received media coverage in 2017 when he appeared on the NBC television show ""American Ninja Warrior"" after being injured in an explosion in 2008 (archived here, and here). Several US media outlets published images of Doman from his service in Iraq, which are similar to those used in the social media posts (archived here).",False,True,False,False,manual
1,1,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.39432WD,"Pictures show Gaza in ruins, not Myanmar quake damage",2025-03-29 00:00:00,2025-04-17 00:00:00,Israeli-Palestinian conflict,false,https://web.archive.org/web/20250402070342im_/https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/487419008_122233817522067190_5197398173696178365_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=108&ccb=1-7&_nc_sid=833d8c&_nc_ohc=Vrh6myPuQ6QQ7kNvgEk5XXK&_nc_oc=AdlUD89_DZpLh7YT1h3kFtbXsa5hjVVf72r_jD7lK9JlOF-ZbIpsMP742_7qAbGCwXM&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=fSR43b_Iy30vsY8iyeCKXQ&oh=00_AYHnGD8C7-NR7_yARBjobfW6AGmcjuJ4rs3dDhokDkqldw&oe=67F29A7A,"""A 7.9-magnitude earthquake in Myanmar, devastation everywhere, everything in ruins,"" read part of a simplified Chinese caption of a Facebook post published March 29.","""A 7.9-magnitude earthquake in Myanmar, devastation everywhere, everything in ruins."" ","However, a reverse image search for the first photo in the post led to a TikTok video shared February 20 by a user based in Gaza. The clip shows the same destroyed building (archived link). A photo from the Turkish Anadolu news agency shows the same scene. ""A view of the destruction in Jabalia camp after Israeli forces withdrew from the area following the ceasefire in Gaza on February 05, 2025,"" the caption says. ",False,True,False,False,manual
2,2,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.37W26WD,Image of 'Gazan mother with son's bones' is made with AI,2025-03-24 00:00:00,2025-03-27 00:00:00,Israeli-Palestinian conflict,false,https://scontent-hou1-1.xx.fbcdn.net/v/t39.30808-6/486290815_1290888865331200_3774810229142652666_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=127cfc&_nc_ohc=dJB5KMYY-K8Q7kNvwG36ECt&_nc_oc=Adm1o8yPbYbSNkcgvalWokrqaqaaHITQDp4TW4yh1603BysZ0yTW6m3OzdfFRAcVyc0&_nc_zt=23&_nc_ht=scontent-hou1-1.xx&_nc_gid=7AoU9LU1o_p7jCObsgUWlQ&oh=00_AfH7GWH4PBqeBawSJ9_R87ZfrG1kYAoZjldaIHBiuECusg&oe=681E8A2A,"""A mother holds the bones of her son in Gaza. After more than a year and a half of searching for him under the rubble of their bombed-out house,"" reads a Malay-language Facebook post shared on March 24.","""A mother holds the bones of her son in Gaza. After more than a year and a half of searching for him under the rubble of their bombed-out house.""","A keyword search found a wider-angle version of the image first shared March 21 on Instagram alongside the disclaimer: ""This visual representation is an AI-generated image created for illustrative purposes"" (archived link). Watermarks that say ""in.visualart"" on the upper left side and ""designed by in.visualart"" on the lower left part have been cropped out in the circulating posts. The primary Instagram account sharing the image -- called ""in.visualart"" -- describes itself as a ""designer"" and labels its content as ""AI tools"" and ""AI-generated image"". Shu Hu, head of Purdue University's Machine Learning and Media Forensics Lab in the United States, told AFP the image was AI-generated (archived link). Hu pointed out the woman's blurry teeth in the image and said that there was ""no obvious segmentation"", one of the hallmarks of AI-generated imagery. While there is no foolproof method to spot AI-generated media, identifying watermarks and visual inconsistencies can help, as errors still occur despite the meteoric progress in generative AI.",False,False,True,False,manual
3,3,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36XY2FV,Old image misrepresented as 'Israeli settlers' in northern Thailand after Gaza ceasefire,2025-02-16 00:00:00,2025-02-19 00:00:00,Israeli-Palestinian conflict,false,https://pbs.twimg.com/media/Gj5tbXiaQAAoG1z?format=jpg&name=small,"""Israeli media reports there are Jews who have stopped fighting the wars in Gaza, Palestine, and Lebanon. They moved to become 'settlers' in Pai District, Mae Hong Son Province, Thailand,"" reads part of an X post published February 16, 2025.","""Israeli media reports there are Jews who have stopped fighting the wars in Gaza, Palestine, and Lebanon. They moved to become 'settlers' in Pai District, Mae Hong Son Province, Thailand.""","A reverse image search via Google traced the viral photo to a report published October 2, 2024 by the Mae Hong Son Immigration Office (archived link). The photo was taken during an inspection at an event celebrating Rosh Hashanah, the Jewish New Year, at a synagogue in Pai. ""There were approximately 400-500 Jewish people attending, and the event proceeded normally,"" the report says. Local media outlets reported police officers were deployed to the Rosh Hashanah celebrations to ""inspect, facilitate and maintain safety"" (archived links here and here).",False,True,False,False,manual
4,4,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36RF6BZ,"Picture shows Israel's 2018 Gaza attack, not aftermath of US strike in Yemen",2024-12-22 00:00:00,2024-12-26 00:00:00,Israeli-Palestinian conflict,false,https://media.gettyimages.com/id/1060718622/de/foto/gaza-city-gaza-smoke-and-flames-blow-up-above-the-hamas-run-al-aqsa-tv-during-israeli.jpg?s=2048x2048&w=gi&k=20&c=fjfyiuoJ3uX2rjXeyi_YnGMkmX1-vTQUINfDoxnQzoI=,"""Americans bombarded Yemen in reprisal after Yemen launched an attack on Israel's capital,"" read a Thai-language Facebook post on December 22, 2024.","""Americans bombarded Yemen in reprisal after Yemen launched an attack on Israel's capital."" ","But a reverse image search on Google found the same picture published by photo agency Getty Images on November 12, 2018 (archived link). Its caption read: ""GAZA CITY, GAZA - NOVEMBER 12: Smoke and flames blow up above the Hamas-run Al-Aqsa TV during Israeli airstrikes to positions in Gaza on November 12, 2018.""",False,True,False,False,manual
5,5,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36NF2UW,"Photo shows Israeli helicopter firing flares over Gaza, not 'shot down in Lebanon'",2024-11-24 00:00:00,2024-12-02 00:00:00,Israeli-Palestinian conflict,false,https://t1.blockdit.com/photos/2024/11/67417966c5d700bda4e839f6.jpg,"""Lebanon shot down its enemy's helicopter,"" read a Thai-language Facebook post shared on November 24, 2024.","""Lebanon shot down its enemy's helicopter."" ","A reverse image search on Google led to the same photo used in a report published by The Times of Israel newspaper on May 20, 2019 (archived link). The photo is credited to AFP photographer Mohammed Abed, and its caption read: ""An Israeli helicopter shoots flares over the Gaza Strip hours after a rocket from the Palestinian enclave hit a house near Tel Aviv and wounded seven people, leading to fears of a severe escalation, on March 25, 2019.""",False,True,False,False,manual
6,6,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36MV6KT,AI-generated image used to falsely claim Netanyahu hospitalized,2024-11-17 00:00:00,2024-11-20 00:00:00,Israeli-Palestinian conflict,false,https://scontent-dfw5-2.xx.fbcdn.net/v/t39.30808-6/467574066_10159703629306377_2271087948666621641_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=833d8c&_nc_ohc=sLkWj06JNSIQ7kNvwF8V9Ks&_nc_oc=AdmX4eGfRA00g0oakzPCxbU37qVHOnj-5s0mPTUOMhTj-uJgcy4XGkbqrL2QVkvRdLk&_nc_zt=23&_nc_ht=scontent-dfw5-2.xx&_nc_gid=GxsCLpbhYjt7pSBgkFmzkQ&oh=00_AfHBauCQ4-oFrtT0kySyUl9ET2-BwofVsasFfT3vNsPXdg&oe=681E8BB2,"""BREAKING NETANYAHU HOSPITALISED He suffered serious health issue in Kiryah and has been shifted to a hospital in Tel Aviv,"" says a November 17 X post from Sulaiman Ahmed, a creator who has monetized misinformation about Israel's war with Hamas.","""BREAKING NETANYAHU HOSPITALISED He suffered serious health issue in Kiryah and has been shifted to a hospital in Tel Aviv.""","However, November 2024 social media posts claiming he was hospitalized with a ""serious health issue"" are false; the Israeli leader gave a speech to lawmakers when he was supposedly admitted, and experts told AFP the image shared online is likely AI-generated. The photo being shared of Netanyahu was likely generated by artificial intelligence, experts said. Hany Farid, a digital forensics expert at the University of California-Berkeley (archived here), said he analyzed the image using three models trained to identify pictures created using artificial intelligence, all of which classified it as ""likely"" being AI-generated. He told AFP on November 19 that he compared the image with actual photographs of Netanyahu and found the left ear was different from that of the Israeli prime minister, indicating it is ""not authentic."" Siwei Lyu, director of the State University of New York at Buffalo's Media Forensic Lab (archived here), also ran the image through a program designed to detect deepfake images and found it is likely not authentic. He, too, noted differences in the shape of the prime minister's ear compared to the one seen in the posts.",False,False,True,False,manual
7,7,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36MT424,Posts falsely claim Huthis declared ceasefire after Trump victory,2024-11-06 00:00:00,2024-11-18 00:00:00,Israeli-Palestinian conflict,false,,"""Huthi spokesman: Our operations in international waters were defensive only and we announce their final cessation,"" says a November 6, 2024 X post in Arabic.","""Huthi spokesman: Our operations in international waters were defensive only and we announce their final cessation.""","The militant group has said it will not halt its military operations, which come in response to Israel's bombardment of the Gaza Strip. Huthi rebels have maintained their attacks in international waters since Trump won the 2024 US presidential election -- and the group's leader has confirmed the outcome will not change its military strategy.",True,False,False,False,manual
8,8,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36L649D,Lebanon explosion falsely shared online as Israeli airstrikes in Iran,2024-10-26 00:00:00,2024-11-05 00:00:00,Israeli-Palestinian conflict,false,https://resource.nationtv.tv/uploads/images/md/2024/10/NdXQgp0xHaLgoxhqfB8R.webp?x-image-process=style/lg-webp,"""Iranian military targets attacked,"" read the Thai-language caption alongside a photo of a huge explosion on Facebook on October 26, 2024. ""Israel launched several waves of revengeful attacks on Iran since this morning. Meanwhile, there were loud explosions in Syria too...""","""Iranian military targets attacked. Israel launched several waves of revengeful attacks on Iran since this morning. Meanwhile, there were loud explosions in Syria too..."" ","In reality, the image shows a different Israeli bombardment in Lebanon. Reverse image searches on Google found a corresponding image published by Lebanese photographer Nabil Ismail alongside ten other images on his Instagram post (archived link). On the night of October 6, the Israeli Defense Forces (IDF) issued warnings that specified their targets in Beirut’s southern suburb (archived link). Citing official Lebanese media, AFP reported that four Israeli strikes struck south Beirut on October 6, shortly after calls by Israel's army for residents to evacuate the Hezbollah stronghold which has been bombarded for several days (archived link). AFP reported on Israel's October 6 strike on Beirut, showing a different scene of the attack (archived link).
",False,True,False,False,manual
9,9,AFP Factcheck,https://factcheck.afp.com/doc.afp.com.36L348E,"Photos show blaze at Iranian refinery in 2021, not impact of Israeli airstrikes",2024-10-26 00:00:00,2024-10-30 00:00:00,Israeli-Palestinian conflict,false,https://www.xinghuozhiku.com/wp-content/uploads/2024/10/xinghuozhiku0-1729930019.jpeg,"""In the early hours of October 26, when the Middle East was still dark, Israel launched an unprecedented missile attack on Iran,"" read the text of a simplified Chinese article published on WeChat.","""In the early hours of October 26, when the Middle East was still dark, Israel launched an unprecedented missile attack on Iran."" ","A reverse image search and subsequent keyword searches on Google found the falsely shared photos were taken by AFP photographer Atta Kenare and Vahid Ahmadi, a photographer for Iran's Tasnim news agency, on June 2, 2021. Both photos are available in AFP's archives, and their captions state the images show a blaze that broke out at a refinery in southern Tehran.",False,True,False,False,manual
