;id;Website;Article_URL;Headline;Claim_Date;Review_Date;Query/Keyword;Label_Website;Image_URL;Original_Claim_Only;Context/Label_Explanation;Text_Only_Claim;Normal_Image;AI_Generated_Image;Altered_Image
1;1;misbar.com;https://www.misbar.com/en/factcheck/2025/04/14/netanyahu-did-not-announce-plans-relocate-gazans-ukraine-and-syria;Netanyahu Did Not Announce Plans to Relocate Gazans to Ukraine and Syria;2025-04-14T15:07:02Z;2025-04-14T15:07:02Z;Ukraine;misleading;;Netanyahu recently announced plans to resettle Palestinians in Gaza to Ukraine and Syria.; Misbar reviewed Trump and Netanyahu’s full meeting, finding that the claim originated from a misinterpretation in Netanyahu’s statement about the situation in Gaza. After a reporter asked Trump whether the resettlement plans for Gaza were still on the agenda or not, Trump passed the question to Netanyahu, who said that Gaza is “closed in.” Netanyahu answered that people in other war zones, specifying Syria and Ukraine, had a choice to leave the country. Gaza, however, is the only place where people are locked in. He claimed Israel was not restricting them. Netanyahu then asked, “What is wrong with giving people a choice?” referring to the resettlement plans for Gazans.;TRUE;FALSE;FALSE;FALSE
3;3;checkyourfact.com;https://checkyourfact.com/2025/03/28/fact-check-charlie-hebdo-magazine-cover-zelenskyy-fake/;FACT CHECK: Charlie Hebdo Magazine Cover Of Zelenskyy Is Fake;2025-03-22T00:00:00Z;2025-03-28T15:19:01Z;Ukraine;FALSE;https://web.archive.org/web/20250708173017/https://scontent-arn2-1.xx.fbcdn.net/v/t39.30808-6/517469952_10225038348865417_6450941732752864523_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=127cfc&_nc_ohc=33B_9jK9M4YQ7kNvwEw8w7d&_nc_oc=AdnQXEPqM2eBclGL2SLoCqCZ5cl09F8nyUkZwXrbqWYI2YG46FqYFeKU6Dz7mnOpA9A&_nc_zt=23&_nc_ht=scontent-arn2-1.xx&_nc_gid=QPZ7qPYieHf-bgWWLWpmEw&oh=00_AfStlFPiGtFk244qw1P3V4Qr6-rOYybNr2OmzuvqFfIVwA&oe=68731813;A post shared on Facebook claims to show a Charlie Hebdo magazine cover of Ukrainian President Volodoymr Zelenskyy.;This claim is false. Check Your Fact reviewed Charlie Hebdo’s magazine covers, such as the March 19 cover. No such cover shows Zelenskyy in a coffin. A wider search of the magazine’s website also did not yield any results for this claim. Martin Lom, a Charlie Hebdo journalist, told Logically Facts that the image is fake. “Yes, it’s a fake, and it’s common since the beginning of the war in Ukraine. The official cover from the week is always pinned on the X official account of the journal,” Lom told the outlet.;FALSE;FALSE;FALSE;TRUE
6;6;newschecker.in;https://newschecker.in/fact-check/fact-check/fake-transcript-of-fiery-trump-zelenskyy-exchange-in-oval-office-goes-viral;Fact Check: Fake Transcript Of Fiery Trump-Zelenskyy Exchange In Oval Office Goes Viral;2025-03-08T00:00:00Z;2025-03-08T00:00:00Z;Ukraine;FALSE;https://web.archive.org/web/20250708173820/https://pbs.twimg.com/media/Gk6BU28WkAARbCo?format=jpg&name=large;Image shows a transcript of the White House meeting between US president Donald Trump, vice-president JD Vance and Ukrainian president Volodymyr Zelenskyy.;Newschecker first looked up the 49-minute 49-second meeting and its transcript that was available on C-Span, a public affairs TV network that covers the White House and national politics. At no point in the video nor in the transcript was there an exchange as seen in the viral image.;FALSE;FALSE;FALSE;TRUE
9;9;misbar.com;https://www.misbar.com/en/factcheck/2025/03/05/image-does-not-show-zelenskyy-signing-bombs-gaza;This Image Does Not Show Zelenskyy Signing Bombs for Gaza;2025-03-05T13:43:12Z;2025-03-05T13:43:12Z;Ukraine;misleading;https://web.archive.org/web/20250708174414/https://assets.misbar.com/styles/large_870x490/public/images/2025-03/glezjqnxwaaaxga.jpg.webp?itok=IxyJQHka;Ukrainian President Volodymyr Zelenskyy signing bombs, claiming he was signing Israeli bombs intended for use against Palestinians in Gaza.;Misbar’s team found that the image shows Zelenskyy signing American bombs produced for Ukraine. A reverse image search led to a YouTube video published by AFP News Agency in September 2024. The video, which included frames similar to the viral image, showed Zelenskyy visiting an ammunition factory in Scranton, Pennsylvania. According to AFP’s description, Zelenskyy visited the United States at the time to seek permission to use Western weapons against targets in Russia. At the 0:56 timestamp, a frame similar to the viral image can be seen.;FALSE;TRUE;FALSE;FALSE
16;16;misbar.com;https://www.misbar.com/en/factcheck/2025/02/23/germany-has-not-threatened-cut-ties-us-after-talks-russia;Germany Has Not Threatened To Cut Ties With the U.S. After Talks With Russia;2025-02-23T07:17:53Z;2025-02-23T07:17:53Z;Ukraine;fake;;German Foreign Minister Baerbock threatens US with severing ties amid Trump's comments on Zelensky and Ukraine.;Germany’s Foreign Minister Criticized Europe’s Exclusion From U.S.-Russia Talks. The claim emerged after Germany’s Foreign Minister, Annalena Baerbock, criticized the exclusion of European countries from U.S.-Russia talks on the Ukrainian war, which were recently held in Saudi Arabia. Baerbock argued that lasting peace in Europe cannot be achieved without European involvement, warning that temporary peace would allow Russia to regroup for future conflicts. She also stated that downplaying Europe’s role would benefit Russia and called for greater confidence in dealing with the new U.S. administration.;TRUE;FALSE;FALSE;FALSE
18;18;misbar.com;https://www.misbar.com/en/factcheck/2025/02/20/germany%E2%80%99s-olaf-scholz-has-not-declared-state-emergency-over-trump%E2%80%99s-ukraine-plan;Germany’s Olaf Scholz Has Not Declared a State of Emergency Over Trump’s Ukraine Plan;2025-02-20T07:31:22Z;2025-02-20T07:31:22Z;Ukraine;misleading;;German Chancellor Olaf Scholz declared a state of emergency in Germany due to Trump's peace plan for Ukraine.;Contrary to the viral claim, German Chancellor Olaf Scholz did not call for a state of emergency in Germany after Trump’s recent peace talks. A closer review of Scholz’s speech reveals that he referred to “Notlage,” not “Notstand” as claimed. In the video, Scholz said, “The Bundestag should pass a resolution as soon as possible according to which the war in Ukraine and its serious consequences for the security of Germany and Europe are classified as an emergency (Notlage) within the meaning of Article 115 paragraph two of the Basic Law.” In German, “Notstand” means a state of emergency that would severely restrict citizens’ rights. However, “Notlage” appears in the German Basic Law and signifies an urgent situation, but it does not equate to a government-imposed state of emergency.”;TRUE;FALSE;FALSE;FALSE
20;20;misbar.com;https://www.misbar.com/en/factcheck/2025/02/16/trump-and-putin-have-not-reached-agreement-end-russia-ukraine-war;Trump and Putin Have Not Reached an Agreement to End Russia-Ukraine War;2025-02-16T08:12:52Z;2025-02-16T08:12:52Z;Ukraine;misleading;;President Trump: I have reached an agreement with Putin to end the war in Ukraine.;Misbar’s team searched for the claimed statement from Trump but did not find any reports from credible media outlets. However, Trump said in a post on his Truth Social platform that he had a call with Putin on February 12, 2025, during which they discussed Ukraine, the Middle East, energy, artificial intelligence, and various other subjects. During the call, both presidents agreed to have their teams start negotiations immediately. Trump said he would call President Zelenskyy to inform him of their decision, which he planned to do while writing the post. Media outlets also reported that Ukraine talks would start, citing Trump’s post, but did not report that Trump had reached an agreement to end the war.;TRUE;FALSE;FALSE;FALSE
21;21;newsweek.com;https://www.newsweek.com/fact-check-trump-russia-ukraine-war-losses-troops-2030104;Fact Check: Trump Says Russia Has Lost 1.5 Million Troops In Ukraine War;2025-02-14T17:57:33Z;2025-02-14T17:57:33Z;Ukraine;FALSE;;Trump says Russia has lost 1.5 million troops In Ukraine war;"For the benefit of the doubt, and as it wasn't explicit, Newsweek has treated the term ""lost"" to mean losses from those killed or injured. Trump said last month that 1.7 million soldiers across both sides had been killed, as reported by Politico, for which there is no evidence. Even though he went on to say that he was ""interested primarily from the standpoint of death,"" Newsweek assessed the total of wounded and killed. A November 2024 report by the French Institute of International Relations referenced British military intelligence that said that as of May 2024, Russia's killed and wounded was up to 500,000. Using data from other conflicts to estimate the amount of Russian irreversible losses (those killed, wounded who died in hospital, or otherwise immobilized), the report suggested total irreversible Russian casualties in Ukraine by mid-summer 2024 had reached around 460,000. In December 2024, the U.K. Minister for the Armed Forces, Luke Pollard MP, told the U.K. Parliament's House of Commons: ""Our assessments further indicate there have been over 750,000 Russian casualties since the beginning of the full-scale invasion with the grim milestone of one million Russians dead and wounded likely to be reached within approximately six months."" Global security experts at the International Institute for Strategic Studies (IISS) said in a report published this week that, as of early January 2025, it estimated a minimum of 172,000 Russian troops had been killed, with 611,000 wounded, of whom 376,000 were severely wounded. Recruitment since the start of the war had generated approximately 976,000 personnel, it said, adding that up to an accumulated 235,000 Russian wounded were ""recoverable."" Recent estimates published by Ukraine's military say that as of February 10, 2025, Russian casualties had reached 850,490. While larger, its total isn't far from independent experts and government reports, with recent Ukrainian analyses echoing experts outside Kyiv. For example, the IISS's estimate of 783,000 from early January 2025 was, by its own words, a ""minimum"" approximate and, as noted by defense-industry specialist magazine Defense Express, was roughly in line with the Ukrainian military estimate published in late December 2024 of 789,550.";TRUE;FALSE;FALSE;FALSE
22;22;newsweek.com;https://www.newsweek.com/fact-check-tucker-carlson-ukraine-weapons-black-market-cartels-2030011;Fact Check: Are Ukrainian Weapons Being Sold on Black Market?;2025-02-12T19:03:29Z;2025-02-12T19:03:29Z;Ukraine;FALSE;;Ukraine is selling half of the armaments it receives from the United States;Claims that NATO weapons and ammunition are being put on sale on the dark web have re-surfaced in recent months, but as other outlets have reported, there is no evidence that any such products have actually made it into the hands of a prospective buyer. A Newsweek analysis of similar claims made in 2022, the year the war began, reveals a coordinated effort by Russian disinformation networks to spread false narratives about Ukraine's handling of Western-supplied weapons. This effort has included fabricated dark web ads, with pro-Russian outlets circulating images of a supposed Javelin anti-tank weapon for sale online. However, the listing was traced back to pro-Russian Telegram channels, and the images themselves dated to 2014— preceding both the war and the current levels of U.S. military support.;TRUE;FALSE;FALSE;FALSE
24;24;checkyourfact.com;https://checkyourfact.com/2025/02/12/fact-check-e-news-usaid-celebrities-millions-ukraine/;FACT CHECK: No, E! News Did Not Report USAID Paid Celebrities Millions To Visit Ukraine;2025-02-05T00:00:00Z;2025-02-12T13:58:27Z;Ukraine;FALSE;;A post shared on X claims E! News reported that United States Agency Aid and Development (USAID) paid millions for celebrities to visit Ukraine.; There is no evidence for this claim. E! News does not have this alleged reporting on its website. No media outlets have referenced this alleged reporting nor have reported on this allegation that USAID paid celebrities to visit Ukraine. ;TRUE;FALSE;FALSE;FALSE
